variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
.497897+.621411*ii, .047518+.906709*ii, .0450535+.0971159*ii, -.0229071+.119904*ii, -.206688-.0002972*ii, 1.09449+.638256*ii, -.143752-1.16289*ii, -.098320+1.0403*ii, -.022452+1.45321*ii, -.394441-1.01367*ii, -.799707-.520027*ii, .130558+.0321062*ii, .137818-.238585*ii, .433512-.749812*ii, -.121844+.0761691*ii
-.550359-.272966*ii, -.766321-.568219*ii, .147767+.754504*ii, .018854+1.19379*ii, 4.42404-1.41842*ii, -2.92066+.859799*ii, -.0482927-.326478*ii, -2.44232-.241666*ii, 1.46248-.325571*ii, 2.0578+3.21292*ii, 1.66982+1.80231*ii, -.761195-.993396*ii, -.84206+.077526*ii, -.255513-2.32997*ii, 1.44663-2.25977*ii
.056021-.757543*ii, .0428105-.275437*ii, 1.35217+3.28208*ii, .397884+1.24033*ii, 1.38982-3.47668*ii, 7.84641+3.8682*ii, -.180587+.6565*ii, 1.45174+4.16693*ii, -2.93671-2.98329*ii, -1.22215-2.72892*ii, -3.91684-7.14521*ii, -4.17769+2.09388*ii, .638317-.345409*ii, -2.13574+.772954*ii, 2.49066+1.11079*ii
-1.46275+2.07706*ii, -1.8261-.559059*ii, .276581-.734969*ii, .58978+.025640*ii, -.440752+.0435298*ii, 2.71471+1.0646*ii, 1.09492-1.68387*ii, -.279059-.978712*ii, -2.20151+.844955*ii, .0656041-.479033*ii, -.578419-.281253*ii, -.299225+.0775665*ii, .0079217+.293446*ii, .899016+.836968*ii, 1.51267-.61415*ii
-.521084-.841283*ii, -.308511+.104834*ii, .394688+.389864*ii, .154322-.0977343*ii, -.0271341-.0448094*ii, .123677+.165543*ii, .773998+.153833*ii, .973807+.70441*ii, -.464126+.0070601*ii, -.434122+.0341484*ii, -.397766-1.2613*ii, -.54494+.131619*ii, -.186352+.211776*ii, .254943+.347425*ii, .915856+.266158*ii
.573159-.709418*ii, .453916-2.21603*ii, 4.54974+5.36634*ii, 16.139+6.6349*ii, -5.70505-16.8737*ii, 31.0362-5.30274*ii, -15.2412-.98712*ii, 11.4898+14.8154*ii, 1.95073+.492467*ii, -17.7818-8.30535*ii, -4.82847-6.2689*ii, -1.44179+7.5782*ii, .0305856-.0464272*ii, -16.0838+7.85448*ii, -.670334-.157905*ii
1.60497-3.60219*ii, -3.01881+2.82762*ii, 3.3971+.928223*ii, -2.90512-2.28118*ii, -.554521+3.13592*ii, -7.01099-6.12193*ii, 4.22795+3.528*ii, .68022+.053743*ii, -3.25207-2.00142*ii, .189225+.607467*ii, -.391215-.46361*ii, .135587+.882654*ii, .029998+.504943*ii, 2.49192+.293345*ii, 1.50641+1.67016*ii
-.0477962+.0265039*ii, -.862944-.023475*ii, 1.10782+.361631*ii, 12.1618+13.8172*ii, 57.8762-15.7513*ii, -16.0289+11.4964*ii, -.210655-.0847658*ii, -33.3426-5.24198*ii, -19.9705-8.71207*ii, 6.37781+47.9158*ii, 1.89037+2.40662*ii, -14.5182-15.6167*ii, -4.55966-7.28491*ii, -1.57479-2.12116*ii, 42.6957-25.3826*ii
.0124238+.210682*ii, .345215-.233899*ii, -.136869+.0090341*ii, .153587+.223296*ii, .0948384-.0970136*ii, .269042-.22382*ii, -.665993+1.31417*ii, .263862-.0391915*ii, .871993-1.00996*ii, -.274648+1.11476*ii, -.413846-.407896*ii, .004555+.649918*ii, .918427-2.12044*ii, -.238272-.0440138*ii, .372542+1.15753*ii
-.00456068-.0423518*ii, .0233138+.0610449*ii, -.019786-.0489166*ii, .048465+.0648345*ii, -.00301176-.00063373*ii, -.00693983-.0125122*ii, 1.19311+.583896*ii, .785498+.350855*ii, .203051+.410716*ii, -.060824+.733399*ii, .160112-.452214*ii, 1.1915-.338875*ii, -3.02956-.794415*ii, .0313382-.00076879*ii, 1.07489-.073876*ii
-.371256-.347982*ii, -.436905-.489174*ii, .213908+.117224*ii, .261244+.174935*ii, -.780833+1.48892*ii, .801731-1.50471*ii, -.117554-.350221*ii, .968069-.78582*ii, -.0595188-.340948*ii, -1.67799-.210388*ii, -1.31116-.047224*ii, -.464256+.119402*ii, 2.1702+.667131*ii, .549752+.662018*ii, .563544+1.54454*ii
.355704+.118635*ii, -.444339+2.0871*ii, 1.23206+.147135*ii, -.047343+7.06113*ii, 4.38089+4.92305*ii, 2.46829-.224117*ii, -1.09025-5.81666*ii, -.396773-.243571*ii, -.321211+1.66403*ii, -9.80676-4.095*ii, -.907922+1.63189*ii, 3.24116-.667353*ii, .344529-.231358*ii, -3.00249-2.62003*ii, 4.30077+4.16085*ii
.41421-1.01238*ii, -.00338832+.0323966*ii, -.383551+.0066908*ii, .0109079-.00339332*ii, .00114265-.00173478*ii, -.0156249+.0156144*ii, .745563+.508961*ii, .580386+1.3333*ii, .097964+.644152*ii, -.0161359+.026315*ii, .767863-.696333*ii, -.138444-.322219*ii, -1.75292-.497238*ii, .0199571+.0272355*ii, .868503+.120817*ii
.364256-.152628*ii, -.764884+.788665*ii, .859681+.244456*ii, -2.4663+.314592*ii, -1.69413+.875593*ii, -3.53879-.384624*ii, 3.71962+1.37442*ii, -.514883-.798373*ii, -1.07724-2.09578*ii, 3.32131-1.58935*ii, -1.3224+.056117*ii, 1.76841+1.4121*ii, -.319038-.843516*ii, .967227-1.08585*ii, -1.27286+1.73008*ii
-.985361+.839952*ii, -.0679805+.356816*ii, 1.03258-3.79287*ii, -.440411-1.01101*ii, -1.85834-1.61805*ii, 1.83139+1.89692*ii, -1.91495+.552257*ii, .407021+1.14484*ii, -.965015+1.55276*ii, .494024-.103653*ii, 1.60438+.814599*ii, -2.50725+1.71196*ii, 4.76156-3.25598*ii, -.399729+.517092*ii, -.749262+.401883*ii
-.246542-.514235*ii, -.35635-.774323*ii, -.188612+.227075*ii, -.287223+.334921*ii, .500163-.19804*ii, -.324083+.291165*ii, .874116+.060715*ii, .108344+.205252*ii, .731508+.010201*ii, .961123+.416063*ii, .647335+.268203*ii, -.216066-.47037*ii, -1.44067+.445598*ii, -.023002-.59682*ii, .499017-.303563*ii
3.83252+8.97517*ii, -8.06622-.06456*ii, 1.91387+1.81724*ii, -2.00946+.848902*ii, 3.49461+2.36365*ii, 7.76433-4.32699*ii, -.808386+.387318*ii, -6.65631-4.30405*ii, -2.77996-5.52551*ii, -.151545-.0439052*ii, .0246666+.189286*ii, .248262-.107229*ii, -1.19055-1.32249*ii, -.186745-1.52841*ii, 3.65807+1.37325*ii
.643247+.351962*ii, .752159-.072545*ii, -1.32582-2.13477*ii, -2.36656-1.0518*ii, -.144941+1.31081*ii, 3.33617+4.56401*ii, .26537-1.90868*ii, -.036682+1.87245*ii, -.450145+3.53256*ii, .607649-2.0743*ii, 1.61891-1.33346*ii, -2.98373-1.68615*ii, -.521877-.057458*ii, 1.12094-1.12042*ii, .755519+.1646*ii
-.669204+.08879*ii, -.949652-1.89183*ii, .200933+.235515*ii, -.491713+.83701*ii, -.121529+.493379*ii, 1.2502+.955166*ii, 1.85404+.610184*ii, .178644-.892517*ii, -.822783-2.35478*ii, .856102-.452171*ii, -.046939-.305172*ii, -.249176-.384993*ii, -1.1843+.111177*ii, -.532758+.378608*ii, 1.46741+1.48735*ii
-.337148-.767858*ii, -.0422826-.091238*ii, -4.39173+2.92489*ii, -.519414+.361311*ii, 2.32204+6.57081*ii, -9.79782+7.67619*ii, -.606452+1.99202*ii, -3.38133-2.16874*ii, 5.88722-10.6459*ii, 1.06595-.863171*ii, 9.03328-7.01708*ii, -1.08811-6.19722*ii, 5.06461+1.44714*ii, -1.02217-.527478*ii, -1.60562+9.43323*ii
-.360745-.98651*ii, -.408987-1.09798*ii, -.512366+.388909*ii, -.568914+.437232*ii, .727864+.859686*ii, -.615179-.587924*ii, 1.21843-.125167*ii, .419664-.38509*ii, .92125+.308366*ii, .3859+.639511*ii, .342512+.575378*ii, -.180207-.58527*ii, -1.6178+.855301*ii, .491672-.611394*ii, .994834-.170923*ii
1.33238+.715504*ii, -.416845-.449709*ii, -.670837-.88952*ii, .14024+.429407*ii, -.242826+.0330598*ii, 2.40186-1.07026*ii, .730736-.986085*ii, -1.18922+.127861*ii, -1.8589+1.59214*ii, .692811-.144848*ii, -1.50032+.892402*ii, -.669063-.308323*ii, -.162375+.139211*ii, 1.02672+.302717*ii, 1.21948-.730917*ii
10.2244+28.7713*ii, -29.4417-2.9576*ii, -11.7634+11.5554*ii, -5.25221-15.0918*ii, -1.81083+26.3231*ii, 18.2333-29.8947*ii, -1.99429-3.03679*ii, -17.1716-20.627*ii, -.99813+.821792*ii, .243995-.764257*ii, -.8206+.109403*ii, .227591+.489736*ii, -.00585362+.0435793*ii, 24.4834-.79400*ii, 3.74586-.410311*ii
.395964-.150599*ii, -.642617+1.25155*ii, .401978+.307352*ii, -1.67506+.134664*ii, -.752435-.385634*ii, -3.38339+.852042*ii, 3.37622+.305901*ii, -1.48784+.294909*ii, -1.76749-.753575*ii, 4.0626-1.32641*ii, -1.17637-.521698*ii, .628981+1.01543*ii, .0665264-.24922*ii, 1.40889-1.13704*ii, -1.06678+.031539*ii
.0486334+.497822*ii, .837156+1.73122*ii, 1.67237+.870383*ii, 7.18992+.916917*ii, 2.2461-6.26213*ii, -5.57585+2.97671*ii, -.878925-.80253*ii, -4.39539+2.1161*ii, -2.59685-2.04516*ii, 2.62404+3.71866*ii, .306024+1.14359*ii, 2.05694-3.15843*ii, 1.25878+.251712*ii, -1.72361+1.48716*ii, .33569-2.60121*ii
-.274751+.21703*ii, -.962361+.367013*ii, .294203+.0760322*ii, .758715+.472639*ii, -.708689+.38468*ii, -.594865+.534946*ii, .341105-1.48259*ii, -.758223-.155673*ii, -.854512-.737883*ii, .15276-1.37884*ii, -.0908606-.462755*ii, -.524767-.691253*ii, 2.7834+1.98349*ii, .257278+.41199*ii, -.483477+1.0224*ii
.282297+.537412*ii, 2.56311-.331145*ii, 1.53454-.251776*ii, 1.26701-6.49809*ii, -5.41176-2.53816*ii, 3.90906+4.54618*ii, -.926589+.386004*ii, 4.35035+5.05609*ii, 1.2617+5.31839*ii, .891383-1.36835*ii, .37416+.0845298*ii, .808376-2.4308*ii, -5.89131-1.51146*ii, .987006+.092758*ii, -2.38658-1.29618*ii
-.596312-1.02216*ii, -.622997-.524326*ii, .705517+.857004*ii, .655535+.392031*ii, .51048-1.35899*ii, -.103235+2.01566*ii, .268625+.624037*ii, -.043914+1.90674*ii, -.48525-1.33134*ii, .617995-.748751*ii, 1.21183-.722628*ii, -.925955+.150035*ii, .039051-1.09914*ii, -1.13386-.185199*ii, .70153+.750811*ii
.0866069+.135273*ii, .57196-.066333*ii, .583765-.013869*ii, .873125-1.90246*ii, -5.32997-.6353*ii, -6.78191-1.3971*ii, .72472+.289482*ii, .34113-2.71555*ii, 4.20784-3.70406*ii, 4.97854+.225271*ii, .552632+1.27567*ii, 1.88693-3.10737*ii, 3.29015+7.70372*ii, .400702+.692973*ii, -7.31629+1.15498*ii
1.34823-.58197*ii, -.511117+.036515*ii, -.943949+1.4757*ii, .480819-.37746*ii, -.111224-.0317865*ii, .886727-2.70326*ii, .793978+1.81688*ii, .0571997+.358324*ii, -.82883-1.38821*ii, .363737+1.14276*ii, -2.06434-2.7477*ii, -.988437+.667885*ii, -.00516326+.0369397*ii, 1.15545+1.32902*ii, 1.14445+.21807*ii
-.344274-.168402*ii, .612843+.298989*ii, 2.26181+1.62502*ii, -4.0272-2.88708*ii, 8.50728-2.35927*ii, 1.25536+3.13087*ii, -1.96262+2.93604*ii, -.13614+.184406*ii, 2.40118-1.54198*ii, 1.44842+8.50714*ii, -.809145-4.78227*ii, -7.16442-1.21564*ii, -.536842+.602671*ii, .933968-3.17271*ii, 4.13315-3.87655*ii
-.180783-.0780392*ii, .112015+.351366*ii, -.926035-.948693*ii, -.201792+2.47476*ii, -1.1829-.819907*ii, -1.09863-.41621*ii, 5.66636+1.793*ii, .920685+1.02564*ii, -2.30786+1.82446*ii, 1.6593-.660041*ii, -.315749+.899671*ii, 6.22725+2.55955*ii, -9.93427-6.06714*ii, -.351483-.0101666*ii, 2.37509-.713242*ii
-.164237+.292123*ii, .0797356+.448535*ii, .102801+.552892*ii, .585266+.491821*ii, .452507+.262416*ii, .764237+.253739*ii, .745007-1.49996*ii, .806062+.301897*ii, .456206+1.47239*ii, -1.24241+.031101*ii, -.72051-.562753*ii, 1.28777-1.07591*ii, -2.71689+1.3083*ii, .194964-.368045*ii, .940808-.588553*ii
1.85597+.279303*ii, -.395055+.441466*ii, -5.56057-6.85787*ii, 2.77267-.280165*ii, -1.64971-.516132*ii, 1.96225-.422514*ii, -2.08626+2.9665*ii, -.564321+.987957*ii, .219408+.183988*ii, -.39276+3.49598*ii, 9.94333-5.03499*ii, -3.47344-3.17232*ii, .0386997-.00862457*ii, -1.70539+6.37874*ii, 1.75249+.137383*ii
-.530376-.310738*ii, -.335353+.303113*ii, .497882-.388105*ii, -.161904-.435081*ii, -.939685+1.38678*ii, -1.49443+1.49111*ii, -.021486+1.88411*ii, -.0801321+.390272*ii, -1.19781-2.33741*ii, -.497942-.753865*ii, .773652-.954391*ii, -.379683+.954204*ii, 3.5116-4.14337*ii, .029842+.554561*ii, .594997+3.78507*ii
.645713+.318882*ii, -.242837+.22883*ii, .226566-1.25838*ii, .50978+.301786*ii, .251559+.113769*ii, .244505+.175194*ii, -.610097-.784892*ii, -.658154+.168367*ii, .0623909+.391034*ii, -.476597+.457532*ii, 1.28433+.6195*ii, -.49164-1.70603*ii, .62025+1.05013*ii, -.453643+.143456*ii, .493189+.261466*ii
.107674+1.35321*ii, .0019082+.00217365*ii, 8.51696+6.58476*ii, .0229349+.00039194*ii, -.0123423-.0161369*ii, .149102-.263132*ii, 7.33635-2.58951*ii, 2.3599-4.53309*ii, -3.79194-7.40415*ii, -.0235286+.0128822*ii, -12.4661-1.7583*ii, 5.33306-5.86955*ii, -7.44927+13.3888*ii, -.0199658-.030452*ii, 1.56661+.699985*ii
-.108688-.45791*ii, -.474464-.316626*ii, .444861+.0835019*ii, .463702-.293141*ii, 2.32369-.085257*ii, -.854658-5.48559*ii, -.164229+.0994136*ii, -.091371-1.79529*ii, .046864+2.44621*ii, -.599464+5.18348*ii, -3.27512+2.79446*ii, -.390923+.878714*ii, .37794+.076274*ii, 2.43873-.288883*ii, 2.34096-3.28646*ii
-.701617-2.79701*ii, 2.10433+.979087*ii, -.206387+.425363*ii, -.161325-.34464*ii, .052061-.502262*ii, -3.56932+1.50388*ii, .316153-.230218*ii, 1.6464+2.08657*ii, 2.06583+1.93966*ii, .372937+.296071*ii, -.006065-.59159*ii, -.125661-.10531*ii, .181998+.196471*ii, .566455-1.25084*ii, -1.14071-.324032*ii
.339791+.014363*ii, -.473676-.422754*ii, -.287297-.366115*ii, -.018291+.868588*ii, .150426+.267186*ii, -.172447-.302248*ii, .6489-1.11717*ii, -1.0038-.746632*ii, -.259192-.425114*ii, .971691-.032098*ii, -.391729+.343179*ii, -.889467-1.03987*ii, 1.42077+2.41811*ii, .330633+.0030499*ii, .0539809+.0808039*ii
.42215+.0153784*ii, .045278+1.23265*ii, .817927-.418549*ii, 1.39338+2.29264*ii, .904072+.829284*ii, -.908146-.827667*ii, -.480131-1.57432*ii, -.445154-.125495*ii, -.0837813-.007915*ii, -2.91461-.148188*ii, -.123544+.99179*ii, 1.89889-1.06064*ii, .680524+.434138*ii, -1.22812-.10738*ii, 1.03633+1.38358*ii
.281234-.124117*ii, .207407+.564434*ii, .296244+.34676*ii, -.713715+.535306*ii, -1.42798+.902758*ii, -1.9779+.686022*ii, .231404+1.12425*ii, -.592712+.121026*ii, -.098241-2.48168*ii, .804332-1.77878*ii, -.933573-.352666*ii, .4262+1.42109*ii, 3.91918-2.57805*ii, .005427-.600086*ii, -1.42139+3.52364*ii
.188414-.309811*ii, .318017-.497291*ii, -.0174011-.429909*ii, -.012532-.700307*ii, -.477037-.154325*ii, .260531+.243424*ii, 1.34232+.81466*ii, .918601+.822779*ii, -.088213+1.25096*ii, .521291+.822825*ii, .331546+.498102*ii, .988054-.65706*ii, -3.7761-1.37633*ii, .353139-.0064698*ii, 1.18315-.413013*ii
.942801-.170373*ii, -.0575923+.428984*ii, -.126942-.319288*ii, .154889-.0102658*ii, .025605-.0422594*ii, .152892+.0157634*ii, .445756+.45184*ii, -.393142+1.05432*ii, -.743122+.315631*ii, .154339+.135529*ii, .180544-.417264*ii, -.0711218-.351511*ii, -.65479-1.09512*ii, .168602+.101482*ii, .916201+.378079*ii
.098575-.548854*ii, -.503529+1.98036*ii, .210638+.762235*ii, -.570972-2.84097*ii, 1.94066-.972373*ii, -4.2352-2.82469*ii, .18835+2.01241*ii, -.257109-.143058*ii, 1.1034+1.26006*ii, 2.07071+5.33895*ii, -.667426-1.41306*ii, -1.2786+.613418*ii, .212191-.0169963*ii, 3.13443-.610228*ii, .281746-3.42916*ii
-.207138+.144359*ii, -.371017+.0252744*ii, .670678+.329648*ii, .597058+.924721*ii, .694644+1.95999*ii, .92488+1.78295*ii, .243306-3.69225*ii, -.919017-.695297*ii, -1.72714-.132584*ii, -1.75946-1.7598*ii, -1.63912-.409562*ii, -1.43281-2.59*ii, 3.37044+4.04836*ii, .618494+.110527*ii, 1.15491+1.50919*ii
1.19813-.062597*ii, -.345901+.109513*ii, 3.21998+.797712*ii, -1.00313+.011608*ii, -1.81432+.41817*ii, -1.24734-2.80424*ii, 1.47675-.944599*ii, -.213043-.111451*ii, -1.08984+.96186*ii, .810775-1.87574*ii, -4.15584+5.32818*ii, 2.64549+.80401*ii, .183164-.249802*ii, .854002-2.29814*ii, -1.31805+.654002*ii
.428819-.898583*ii, .088714-2.38788*ii, 4.36826+6.29177*ii, 15.6155+9.69896*ii, -3.13232-20.1764*ii, 31.313+4.94195*ii, -12.9658-4.32301*ii, 6.77508+18.9971*ii, -1.82444-.657353*ii, -12.6755-14.3406*ii, -2.47624-7.58077*ii, -3.81352+6.68115*ii, .0220586-.0517178*ii, -18.3217+5.24046*ii, -.659405-.319309*ii
.916837+1.13086*ii, .22511-.0742903*ii, 1.46763-3.47355*ii, -.4441-.424008*ii, -.658108+1.23737*ii, .115788+2.02905*ii, -.036067-.632111*ii, -2.04101-.84221*ii, -3.17831-.338037*ii, .3965+.109968*ii, .232025+2.5163*ii, -1.21849-2.28569*ii, 3.7739-1.0062*ii, .239168+.549207*ii, 1.26428+2.18445*ii
-.016793-.582223*ii, -.864946-2.19785*ii, .126823+.439207*ii, 1.08794+1.50095*ii, -1.87557+.792597*ii, 5.83076+.135018*ii, .0024738-.142242*ii, 1.90925+1.20532*ii, -1.43688-1.52507*ii, -3.00667-3.47194*ii, -.407055-1.05696*ii, -.760013+.195905*ii, -.13278-.251631*ii, -1.97095+1.80886*ii, 1.79221+3.35444*ii
-2.49319+.661837*ii, 1.23213+1.01874*ii, 10.5848-3.25036*ii, -5.45314-4.16629*ii, .108533-5.13785*ii, 5.03495+7.65867*ii, -.170627+1.70249*ii, 4.86979+2.33826*ii, -2.38147-.169908*ii, .755887+1.22449*ii, -2.31654-.15637*ii, -4.2893+.165069*ii, -.371906-.0280826*ii, -2.69498-2.55262*ii, .713468-1.05183*ii
6.53169-.163877*ii, -.0754559-.0577309*ii, 2.22448+6.28508*ii, .0321481-.0914616*ii, -.323557-.055626*ii, 3.9269-7.47314*ii, 1.25732+4.46163*ii, -1.27109+.385852*ii, -3.3637-7.29434*ii, .0948587+.130029*ii, -10.6901-2.87078*ii, .316226+.970178*ii, .0266356+.295665*ii, .640897+.833766*ii, 1.55986+3.41216*ii
-.50507-1.04729*ii, -.125735-.506312*ii, .327199-.0203315*ii, .145571+.0210917*ii, -.0332584-.0571386*ii, -.120689+.121769*ii, .908245+.336843*ii, .748476+.822663*ii, -.582596+.605077*ii, -.0889881+.164128*ii, -.119337+.398627*ii, -.10649+.261068*ii, -.817539-1.14017*ii, .216834+.0103005*ii, 1.20478+.174482*ii
6.22366-7.60615*ii, 1.51551-1.69852*ii, -7.46723-.200956*ii, -1.726-.120426*ii, -3.36948+7.84844*ii, -6.14667-12.4531*ii, 2.47772+4.10906*ii, .537806-.098896*ii, 2.65482+1.58362*ii, .134281+.465471*ii, .665108+1.98301*ii, -.46533-.600985*ii, .148214+.346409*ii, 4.37616+1.87557*ii, -.204505+3.63765*ii
.161675+.183667*ii, 1.00194-.632228*ii, 1.00696+.281185*ii, 2.11574-4.59868*ii, -7.56816-3.00257*ii, -8.17503+1.62362*ii, 3.48165+3.22675*ii, -.428782-.15505*ii, .190406-3.80411*ii, 9.21354-.04335*ii, .309937+1.87753*ii, 3.58171-2.32971*ii, -.411686+1.54813*ii, 1.49756+1.68521*ii, -6.66453+.799323*ii
.068028+1.13839*ii, 1.19854+1.11079*ii, 2.61867+1.6846*ii, 4.37968-.851566*ii, 1.04129-3.84916*ii, -.741437+3.82809*ii, -2.11438-.57379*ii, -1.30963+2.83962*ii, -.766604-.667311*ii, -.274014+1.29938*ii, -.765268+.522726*ii, 1.61152-2.20403*ii, -.055789-1.73771*ii, -1.49785-.22354*ii, .227577-.414201*ii
.242517+.533219*ii, .495387-.74424*ii, .939556-.473611*ii, -1.37136-.835571*ii, -1.16798+.710254*ii, 2.02495-.458581*ii, -.158019+.4531*ii, 2.4106-1.17167*ii, 2.70405-.798029*ii, -.664475+.819692*ii, -.225955-.653401*ii, -.071924-1.79476*ii, -1.76463+3.11254*ii, -.598222-.155521*ii, -.679535+.86636*ii
.17308+.194902*ii, -.543887-.000173*ii, .0862588+.126993*ii, -.317632-.0414705*ii, -.199457+.0260146*ii, -2.50592-1.68667*ii, .82372+2.98643*ii, -.061512-1.684*ii, 1.14431-3.83182*ii, 1.48998+2.48451*ii, .415749-1.32471*ii, .584027+.076063*ii, .260834-.237469*ii, -.226349+.72042*ii, -.190321+1.33563*ii
-2.34327-.030254*ii, -.131772+.709769*ii, .844365-2.08397*ii, -.588462-.365348*ii, -2.57808+.806305*ii, -2.56043+.59086*ii, -.222101+.0337757*ii, 1.69472-1.58343*ii, 1.1888-.908238*ii, -.0720846-.297413*ii, .911713-.39457*ii, -.348796+.893844*ii, 5.19574+.767397*ii, .159916+.699099*ii, -2.32263+2.04849*ii
-.716424+1.41474*ii, -1.5027+.187609*ii, .61348-.159339*ii, .453566+.400805*ii, .184419+.339302*ii, .401399+.500492*ii, .28018-1.3087*ii, -.976525-.96261*ii, -1.07074-.54543*ii, -.0384082-.273392*ii, -.259892-.126629*ii, -.264413-.299735*ii, 1.84412+.811576*ii, .414297+.141527*ii, .555957+.372534*ii
.425688+.22844*ii, -.707894-.025866*ii, 1.38618+.22965*ii, -1.9731+.592717*ii, -1.47083+5.08719*ii, -2.42726-1.09672*ii, .11101+.332893*ii, .64383-2.0783*ii, 2.13575-2.73565*ii, -2.63628-2.33808*ii, .912048+2.22341*ii, 2.75302-.937891*ii, 1.52462-1.0073*ii, -.588122-1.59753*ii, -.8354+5.93177*ii
-.468024-1.02538*ii, -1.06697-.225698*ii, .760101+.685814*ii, .970794-.196868*ii, -.551381-.373667*ii, .528872-.658352*ii, .332162+.368574*ii, .897797+1.04762*ii, -.963199-.562432*ii, -.730273-.443063*ii, -.080501-.879128*ii, -.833532+.360828*ii, .672178+.254016*ii, -.112525+.956175*ii, .842213+.574712*ii
1.88466+.841757*ii, .557488-.519709*ii, -1.16466-3.56721*ii, -1.38063-.117391*ii, -2.25039+1.41596*ii, 2.38559-1.97217*ii, -.231368-.539523*ii, .018459-1.3237*ii, .385127+1.69353*ii, .467243+.193492*ii, .010667+1.36956*ii, -1.21998-1.34787*ii, 1.41012+1.99135*ii, .71772+.757971*ii, -.705117+.477287*ii
1.26455+.930215*ii, -1.88366+.091108*ii, 1.03839-.048364*ii, -.931309+.831939*ii, -.017291+1.09359*ii, .357669-2.90557*ii, .314079+1.16913*ii, -.412727-1.55617*ii, .531056-2.87873*ii, -.461555+.371009*ii, .492938+.0027065*ii, .514572-.416772*ii, -.128222+1.25907*ii, -.928775+.039813*ii, .348626+1.70254*ii
.352362-5.1881*ii, -.443331+.897417*ii, 9.32828+11.6911*ii, -.802336-2.7649*ii, 6.89352-5.54387*ii, -4.37811+.718273*ii, -.999803-.071826*ii, -.276396+7.09819*ii, .631872-.726107*ii, 1.67345-.019793*ii, -7.99836+3.40861*ii, -2.12154+1.9421*ii, -.0822712+.0829119*ii, .48697-8.68901*ii, -.181556-3.45489*ii
.571608+.235505*ii, -.277519+.369497*ii, .429229-.946686*ii, .604611+.487979*ii, .269048+.201523*ii, -.271134-.202103*ii, -.258589-.743795*ii, -.535299-.089976*ii, .0529164+.0555738*ii, -.592588+.545524*ii, .905243+.584524*ii, .058611-1.68033*ii, .297719+1.32261*ii, -.467202+.172268*ii, .507317+.332413*ii
.476197-.49915*ii, -.344868-.273563*ii, .317005-.821455*ii, -.540414-.153663*ii, -1.19464+.222881*ii, -3.37604-.428702*ii, 1.0973-.788673*ii, -1.28588+.276488*ii, .455571+1.60281*ii, 2.66748-.876012*ii, .986159+4.28815*ii, 1.17875-.489462*ii, .154514-.284709*ii, .832983-1.74862*ii, -1.66732-.20589*ii
1.09467-.088515*ii, -.33576+.604599*ii, -.635637-1.1524*ii, .825855+.069175*ii, .0354665-.0495947*ii, -.154394-.693038*ii, .0014593+.431506*ii, -.697408+.607588*ii, -.643545+.150093*ii, -.085004+.975065*ii, 1.36353-.746078*ii, -.492323-1.09255*ii, -.0301542+.0433042*ii, -.006743+1.0749*ii, .995503+.105684*ii
1.31914-.019827*ii, .063484+.540393*ii, .75242-.312651*ii, .159847+.295589*ii, .251509-.186285*ii, .461168+.243094*ii, .558741+.580571*ii, -.705282+1.40725*ii, -1.68024+.1349*ii, -.202165-.167944*ii, -.454967+.446215*ii, .573819-.228387*ii, -1.06872-2.37374*ii, -.270015-.217533*ii, 1.52+.837452*ii
.109662+.0543087*ii, .454511+1.7145*ii, .133412-.0547132*ii, 1.87031+.932799*ii, -.196818+.179512*ii, -.474759+.514266*ii, -1.40929-2.73463*ii, -.146645+1.23383*ii, .47492+1.93094*ii, -2.3216-1.30585*ii, -.173286+.0611913*ii, .778543-.884489*ii, 2.24907+1.10798*ii, -.183672-.269285*ii, -.679958+.515605*ii
-.518687-.32546*ii, -1.21833+.722391*ii, 1.06153-.7481*ii, -.415258-2.97505*ii, -4.47762+.311654*ii, 3.30763-4.20185*ii, -1.31063+.634925*ii, 4.87861+1.03822*ii, 1.87035+3.07572*ii, -2.56459-.97297*ii, -.133249-1.17833*ii, -.819087+1.95625*ii, .537567+1.49745*ii, 1.01356+1.33934*ii, -2.05508-.290591*ii
-1.85666-1.17351*ii, -.884678-1.66449*ii, .417679+.762265*ii, -.012938+.745836*ii, .124576+.163025*ii, .127463+.290842*ii, 1.71234-.382014*ii, 1.51316-.577213*ii, .294479-.809222*ii, .0522112-.125805*ii, -.0198231-.157471*ii, -.346166-.191761*ii, -1.24666+1.92368*ii, -.244572+.172307*ii, 1.02986+.136657*ii
-.447818+.723728*ii, .791448-.26499*ii, -3.51927+1.03976*ii, 3.30574+1.42239*ii, -.128203-.962163*ii, .118885+1.16009*ii, -.511383+.899954*ii, -1.02217+2.46614*ii, .142962+1.99842*ii, -.188647-.331692*ii, .364149+.137096*ii, 3.21472+2.87354*ii, -1.88646-9.00814*ii, .324534+.0120084*ii, 1.11222+.495634*ii
