variable ordering: c, dt, v, F0, F, dt0, L0, L, m0, u0, m, u
4.49777+3.34949*ii, -7.30288+.309862*ii, 4.49765+3.3494*ii, 10.1262+.42959*ii, -.136686-.0057996*ii, -3.68462+6.41598*ii, -19.0314+8.258*ii, -.000901293-.000613625*ii, .0285009+.034593*ii, 4.42683+12.7428*ii, 5.45694-4.49564*ii, 13.297+3.10427*ii
-1.2576+1.71163*ii, -.968576-.344255*ii, -.615707+.884703*ii, -1.05996+.387384*ii, -.916647+.325798*ii, -.832207-.304147*ii, .783585-.520967*ii, .679335-.442996*ii, -.146946+1.76246*ii, -.860408+.192462*ii, -.152276+2.04598*ii, -.743087+.159295*ii
-4.37579+.310448*ii, .771861+2.35207*ii, 4.37051+.172297*ii, -.74091+.441113*ii, .125956-.383823*ii, -.996537-.593074*ii, 2.27238+1.1429*ii, -1.15416+.296066*ii, -.051807+1.09864*ii, 2.56642+1.28927*ii, -1.62459+1.69455*ii, -1.30317+.334615*ii
.162177+2.08163*ii, 1.38569-4.86346*ii, -.162173-2.08157*ii, 4.01419+14.0889*ii, .0541849+.190177*ii, -21.5782-.73136*ii, -.98854-22.5181*ii, .000275277+.0000557471*ii, .0575097-.0666063*ii, -2.82129-.80949*ii, 10.5068+9.07186*ii, -.44768+12.5233*ii
.340418+.237912*ii, -.086099-1.05716*ii, .407675-.0980855*ii, .21579+.73573*ii, -.076533+.9397*ii, -.367082+1.25148*ii, -.211351+.169346*ii, .317241-.101236*ii, .079325-.667671*ii, .0879745+.089613*ii, .134394+.529957*ii, -.0614928-.141641*ii
.241201+.3575*ii, -.55025-.816705*ii, -1.14986+.315242*ii, .104111-.333225*ii, -.567396+.842153*ii, -.8542-2.73403*ii, .385691-.482413*ii, 1.47628-1.02367*ii, -1.29426+.630658*ii, -.094979+.36075*ii, -.364304+.334976*ii, -.56483+.926445*ii
4.10861-7.93028*ii, -4.07469+3.91729*ii, 4.1085-7.93007*ii, -9.44858-9.08348*ii, -.12754-.122613*ii, -2.39917+4.83965*ii, 14.2613+19.4552*ii, .000380989+.00128774*ii, .0226288+.055845*ii, 12.0738-11.7737*ii, -8.80964+3.56947*ii, 7.05525-14.4901*ii
.297417+1.36587*ii, .0631979+.313367*ii, 1.00462+1.80198*ii, -2.00131-1.64747*ii, .618419-3.06643*ii, -.297845+.245173*ii, -.211729-.166949*ii, .0576211-.320244*ii, 2.9589+1.22056*ii, .615645+.205165*ii, -2.04536+1.68777*ii, .13096+.772079*ii
-1.76935+3.73216*ii, 2.87501-5.09022*ii, 1.76931-3.73206*ii, -6.23204-11.0341*ii, .0841236+.148941*ii, 5.02938-.911733*ii, -2.748+10.1918*ii, .000370059+.000524963*ii, -.0131289+.077149*ii, 2.95241-3.94584*ii, -12.1699-2.07045*ii, 4.30317-.22011*ii
1.92023-1.0809*ii, .152466+.577133*ii, -4.37242-.345589*ii, -.780321+.386325*ii, .427881-1.61967*ii, -1.02923-.509545*ii, -1.26357+.067029*ii, 1.50212-1.91575*ii, .141227-.187507*ii, -1.54635-.140573*ii, -.12167+.0088268*ii, 2.16088-2.06273*ii
1.26073+.222379*ii, -.118987-1.05746*ii, -1.27865+1.05373*ii, .221884+.612491*ii, -.105077+.933839*ii, .52285-1.44322*ii, .490056-.851616*ii, 1.17848-.787331*ii, -.174475-.338053*ii, -.87641+.620097*ii, .212334+.156345*ii, -1.52982+.240836*ii

component_2:
equations:
dt*F-1
c*dt0-2*L0
-dt*u+dt0*u0
c^2*dt-2*c*L-dt*v^2
1.00016*c^2*F0^2-.999984*c^2*F^2-1.00003*v^2*F0^2
.999922*c^2*m0^2*u0-1.00019*c^2*u0*m^2+1.00029*v^2*u0*m^2
.999933*c^2*L0^2-.999994*c^2*L^2-.999986*v^2*L0^2
points:
-5.37539e-16+6.70736e-17*ii, .730764-.183889*ii, -3.07817e-17-6.43977e-17*ii, .491758+.0464639*ii, 1.28694+.323845*ii, -.2592+.275228*ii, 6.1251e-16+2.05625e-16*ii, .228509-.495008*ii, .146883-.106401*ii, .447195+.416593*ii, -.715796-.338497*ii, -.301621-.0552367*ii
-3.1369e-20+1.20031e-20*ii, .176261-.525706*ii, -5.59167e-21+8.88244e-21*ii, .182233-.582141*ii, .573327+1.70998*ii, .994454-1.17739*ii, 2.35267e-20-9.00229e-21*ii, .893557-.760454*ii, -.63457-.242357*ii, -.2103+.357848*ii, -.805312-.943173*ii, -.910259+.708829*ii
6.424e-20-1.01296e-19*ii, -1.18849-.313417*ii, 5.17299e-21-1.15799e-21*ii, -.675463-.492197*ii, -.786695+.207459*ii, .276504+.220396*ii, 5.86778e-20+1.9458e-20*ii, 1.09847-.404789*ii, -.13218+.121493*ii, -.387842-.453494*ii, -.105571+.768189*ii, .0494837+.164379*ii
0, -.289108+.691839*ii, -3.97358e-21+5.40803e-21*ii, -.150451+.725321*ii, -.514222-1.23054*ii, -.789716+2.66041*ii, -1.06842e-20+5.47399e-21*ii, .330801-.0646365*ii, 1.12912+.040974*ii, .205003-.346942*ii, .77939+1.31694*ii, .616894-1.35792*ii
3.00468e-17-4.94923e-17*ii, .063161-.551801*ii, 2.15261e-9+2.58514e-9*ii, -1.76817-3.50847*ii, .204755+1.78881*ii, -.271831-.834175*ii, -7.57196e-17-1.44713e-16*ii, -.115551-1.4787*ii, 1.59707-2.88361*ii, -.540581+.845102*ii, 1.35342+.182059*ii, -.221278+1.5692*ii
-8.10625e-18-3.94143e-17*ii, -.194108+.395474*ii, -2.45717e-10+6.55341e-10*ii, 1.33388+2.69093*ii, -1.00016-2.03771*ii, -.696907-.181517*ii, -8.89171e-18-3.47841e-17*ii, .585973-.480619*ii, .072060-.838817*ii, -.416591+.0766421*ii, .473214-1.95126*ii, -.259035-.642156*ii
4.49647e-18-3.25259e-19*ii, .0428256-.0612887*ii, 3.1891e-10+1.30629e-8*ii, 4.60259-8.58996*ii, 7.66065+10.9633*ii, -.0227831-.0282973*ii, -3.42391e-17+6.91008e-18*ii, 1.02403-3.56248*ii, 1.96901-4.45064*ii, -3.8131-6.29769*ii, -2.31672-1.07015*ii, -3.45565+.92443*ii
-1.11182e-16+2.42878e-16*ii, -7.14039-1.84411*ii, 9.82768e-10+1.46149e-9*ii, -1.66132+3.53452*ii, -.131291+.0339078*ii, 4.66747-.903446*ii, -2.37293e-16+3.35558e-17*ii, -2.632-1.02334*ii, 2.02713-.363233*ii, 1.07168+9.30596*ii, -1.7833+8.30744*ii, -3.20051-5.12087*ii
2.18101e-17+2.68302e-17*ii, .757092+.327642*ii, 9.98692e-10+2.60465e-9*ii, -1.32738-.422221*ii, 1.11249-.481446*ii, 1.4931-.776119*ii, 9.7912e-18-5.71322e-17*ii, -1.28118+.313294*ii, -.576752+1.47179*ii, .520605+.525538*ii, 1.21746+1.62782*ii, 1.50177-.147161*ii
-1.00819e-17+5.52571e-18*ii, -.0862983+.330762*ii, -1.08382e-9+3.17545e-9*ii, 4.23025-.949266*ii, -.738532-2.83063*ii, -7.30896-1.65927*ii, 7.5831e-17-1.11649e-16*ii, -2.62704+6.76905*ii, 1.94103-1.58415*ii, -.117316-.120616*ii, -.652685+1.5268*ii, 2.56096-2.65547*ii
-1.65063e-17-5.49397e-18*ii, -.48268-2.90895*ii, -4.14002e-9+1.67033e-8*ii, 1.13281+.325089*ii, -.0555126+.334555*ii, .041252+2.72888*ii, 1.4735e-18-1.64509e-16*ii, 1.23397+.967183*ii, .780847-.776485*ii, .990372+.607998*ii, .657484-.257947*ii, -.822726-.692831*ii
-1.79782e-17+5.61388e-18*ii, .346197+2.30394*ii, -2.23009e-9+1.38852e-9*ii, 3.84719+1.25607*ii, .0637797-.424455*ii, -.155159+.433664*ii, 3.16513e-17+9.30586e-17*ii, -.233494-1.81461*ii, .20554+.915262*ii, -.234111+.934818*ii, -1.60075+1.15302*ii, -.128198+.140928*ii
-2.02405e-17+1.7471e-17*ii, .59131-1.02662*ii, 9.72967e-9-1.63207e-8*ii, .393614-.0437372*ii, .421281+.731421*ii, -.968816-1.03788*ii, 4.03499e-17-3.75354e-18*ii, .98891+.448849*ii, .366915+.981646*ii, .790489-.608598*ii, -.862887-.194527*ii, -.419915-1.11939*ii
1.37982e-17-4.21791e-18*ii, -.326714-.0423775*ii, 9.5256e-11+3.97449e-9*ii, 1.10473-.932573*ii, -3.01014+.39044*ii, -.572223+1.41679*ii, -2.35151e-17+2.19559e-17*ii, -1.39575-.933605*ii, -.113705+.829127*ii, -.0359641+.270481*ii, 1.63202-1.3315*ii, 1.17191+.477686*ii
2.92583e-16-2.91487e-16*ii, 2.88402-.640621*ii, -1.78322e-9-2.80548e-9*ii, -.891365-3.30917*ii, .330435+.0733989*ii, 4.339-.980934*ii, -4.23442e-16-1.31441e-15*ii, -1.44904-1.35922*ii, -.353276+1.38626*ii, -.662434+2.71053*ii, .707741+.977567*ii, -.982133+4.08515*ii
8.25133e-18-1.6504e-17*ii, .520805+.125595*ii, 2.36381e-9+1.87445e-9*ii, -1.77928-1.4354*ii, 1.81457-.437595*ii, .91072+.643456*ii, -1.68721e-17-3.44696e-17*ii, 1.35032-2.83219*ii, -.775306-3.94866*ii, .84736+.821015*ii, 1.8875-.113296*ii, 1.0075+2.23964*ii
2.65167e-18+2.46756e-17*ii, .117633-.0889349*ii, 7.76626e-10-3.91282e-10*ii, -.186553-1.92249*ii, 5.40917+4.08953*ii, -.899448-2.58103*ii, 1.91778e-17-1.96589e-17*ii, -1.12025-1.30077*ii, -1.10296-3.04386*ii, -.151394-.387753*ii, -6.20377-2.40948*ii, -7.7012+.464246*ii
-1.96535e-17+5.33162e-16*ii, -.243062+.732125*ii, -5.77389e-9-8.69162e-9*ii, 1.06864+1.29389*ii, -.408448-1.23028*ii, .093181+1.54184*ii, -1.62825e-16-9.3552e-18*ii, -.0939966-.457052*ii, -.81475+.162362*ii, -.520507-.442695*ii, -.043226+1.0795*ii, -1.29708-.435434*ii
-3.04355e-18-5.15854e-18*ii, .0000279+.209633*ii, -7.58326e-11-2.97603e-10*ii, 6.82404+2.0581*ii, .000635-4.77024*ii, -.184555+.0533607*ii, 1.74354e-18+1.51252e-17*ii, 1.16789+5.11369*ii, 1.60339+5.84483*ii, .800192+5.38092*ii, -1.84837-7.40328*ii, -4.53379+2.07354*ii
2.59265e-17-1.48579e-17*ii, .014208+.526738*ii, -3.56524e-9+1.15008e-9*ii, -.347866-1.1107*ii, .051172-1.8971*ii, .119375+1.05086*ii, -6.90411e-18+8.43227e-18*ii, -.389344-.778515*ii, -1.60404+1.24514*ii, -1.0422-.104943*ii, .234904-.825047*ii, -2.10221-.029876*ii
3.28549e-18-1.12149e-17*ii, .0097642-.411521*ii, 1.08059e-9-1.33433e-9*ii, -.156914+1.18937*ii, .057625+2.42865*ii, -.725523+.731251*ii, 8.59423e-18+1.68994e-18*ii, -1.55499-.004963*ii, .248085+.985439*ii, -.0003801-.341605*ii, .900743-2.15589*ii, -.586835+.621608*ii
7.85003e-17+7.88034e-17*ii, -.139397+1.19576*ii, 1.76336e-9-1.97466e-9*ii, -.40501+.806067*ii, -.096184-.825074*ii, .867566+.947242*ii, -1.40823e-17+1.40482e-16*ii, .4863-.561368*ii, -.928135-.197583*ii, .099366-1.31621*ii, .443943-1.33157*ii, -.992705-.999026*ii
-2.87547e-18+3.27914e-19*ii, .112042-.0467351*ii, 1.56742e-9+1.54823e-9*ii, -1.54749+2.15267*ii, 7.60245+3.17113*ii, -3.00502+6.63532*ii, 1.11664e-17-2.72935e-17*ii, 4.33051+9.46935*ii, 6.10618-5.49263*ii, .0262338-.00207133*ii, -3.24898-2.61711*ii, -1.06657+1.16427*ii
3.56365e-18+1.93325e-17*ii, .374618+1.08605*ii, 4.08633e-9-9.9428e-11*ii, .520497-.052295*ii, .283837-.822865*ii, 1.29883-.095004*ii, 5.44931e-17-5.30569e-17*ii, -.616353-1.87332*ii, 1.69458+.719536*ii, 1.19278-1.12872*ii, -1.79373+1.63889*ii, -.890288-1.63483*ii
3.57955e-18-1.38606e-17*ii, .170021-.0506706*ii, 1.08464e-9-1.01842e-9*ii, -6.0776+.2415*ii, 5.40183+1.60988*ii, -.384333-.0477968*ii, 9.52314e-17-6.46499e-17*ii, 3.24343+2.36704*ii, -.418792-.047367*ii, -.966888+1.16043*ii, -1.41911+2.30503*ii, 2.95056-1.47199*ii
1.20562e-17+2.48678e-18*ii, .304066+.509135*ii, -3.2945e-9+9.40199e-9*ii, -.0836271-.206653*ii, .864622-1.44774*ii, .54144-2.01928*ii, 1.0824e-17-3.01477e-17*ii, 2.17965+.302655*ii, -.933153-1.00563*ii, -.176958-.564302*ii, -.651913-.513693*ii, -.993081+1.83317*ii
9.34121e-17-2.0163e-17*ii, -1.07911-.117882*ii, 6.06607e-9+7.25197e-9*ii, -1.57722+2.29516*ii, -.91576+.100037*ii, -2.38724-.593018*ii, -2.33447e-16-1.41223e-16*ii, -.96686-.376844*ii, .279036-.286668*ii, -.204573-.534081*ii, -.477306+.969611*ii, -.296867-1.2615*ii
3.31405e-17+1.107e-17*ii, 1.29949-1.20733*ii, 5.6362e-11-1.98482e-9*ii, -2.00852-.351845*ii, .413019+.383726*ii, .516381-.232981*ii, 7.63688e-17-3.60951e-17*ii, 2.01643+.328223*ii, .990161+3.12582*ii, -4.4924-.790849*ii, -1.2519+3.01774*ii, -1.27914-.697252*ii
-4.64369e-17-1.44154e-17*ii, .350643-.173081*ii, -3.64146e-9+6.42604e-9*ii, -.602171-1.36635*ii, 2.29317+1.13193*ii, -.760139-1.47863*ii, -7.3616e-18+1.09808e-16*ii, -1.24549+.392371*ii, 1.48168-.750454*ii, -.450625+.166085*ii, 1.26083+1.22713*ii, .737341+1.90416*ii
8.57786e-17-3.85791e-17*ii, .273925+.652704*ii, -1.00806e-9+1.28466e-9*ii, 8.80134+4.97831*ii, .546694-1.30265*ii, -.003955-1.14459*ii, -2.5851e-16-8.7702e-17*ii, -.73755-.375489*ii, -.744265-2.99805*ii, -3.97017-2.6303*ii, -4.76374-.750283*ii, 4.2958+6.39132*ii
1.52629e-18-5.3492e-18*ii, -.620919-.621054*ii, -4.0078e-9+9.12016e-10*ii, .427711+2.68656*ii, -.805083+.805257*ii, -.925632+.846085*ii, -4.07733e-17-5.68457e-17*ii, -1.44562-2.82822*ii, -.471023+2.78255*ii, -.930699+.284654*ii, 1.04186+1.36283*ii, .346604+1.34587*ii
-1.58112e-16+2.18785e-17*ii, -.017776-.376784*ii, 7.50646e-10-2.38515e-9*ii, -1.05751+.314923*ii, -.124935+2.64815*ii, -.303656-.194521*ii, 2.23165e-17+1.83099e-17*ii, .153202-.0234012*ii, .157479+.588157*ii, .995654+1.44224*ii, 1.47842+1.94842*ii, 1.67535+.021207*ii
5.5181e-18-6.52819e-17*ii, 4.42594-4.65723*ii, -2.54272e-8+1.76386e-8*ii, -4.45199-2.85844*ii, .107221+.112824*ii, -2.17901+8.26862*ii, 9.9847e-17+1.02422e-15*ii, 3.7036-4.24359*ii, -.322255+5.94165*ii, .43702+2.19609*ii, 6.98873+2.13937*ii, -1.91689-2.2818*ii
-1.5072e-17+3.28793e-17*ii, .268522+.417697*ii, 1.02461e-9+4.70592e-9*ii, -.009605+1.83732*ii, 1.08901-1.694*ii, -.036483+1.0969*ii, -9.19338e-17+8.90538e-17*ii, 1.71915+1.092*ii, -1.94498+1.33999*ii, .093037+.630626*ii, -.542845-1.32679*ii, -.623098+1.26363*ii
-4.67196e-18-1.40562e-18*ii, -.523779+.10908*ii, -1.72429e-9+1.96539e-9*ii, .632173+.917741*ii, -1.82984-.381073*ii, 2.26541-1.4201*ii, -1.71368e-17+5.32784e-18*ii, 1.09573+.954751*ii, -.272599+1.04235*ii, -.212328-.0644299*ii, -.715199-1.9977*ii, 1.10688-.066498*ii
-1.40823e-17-2.31244e-17*ii, -2.18051-3.63923*ii, 2.3462e-9-2.73532e-9*ii, 2.04555-1.30872*ii, -.121148+.202195*ii, .656598+1.87393*ii, -1.1484e-16-1.75362e-16*ii, 2.64123+1.049*ii, -4.19561+1.9901*ii, -2.43779+.302923*ii, 1.12699-2.54896*ii, 1.14615+.09092*ii
4.67574e-17+3.77992e-17*ii, .303932-1.56932*ii, 3.90202e-10-7.98052e-10*ii, -2.26082-7.11804*ii, .11895+.614183*ii, 1.81778-.957542*ii, -1.31935e-16+1.07789e-16*ii, -1.08829+2.91398*ii, -.881297+.875782*ii, 4.12059-1.85267*ii, 4.0028+4.50396*ii, 5.17171+2.64094*ii
9.5533e-19-1.24316e-17*ii, -1.19202-.199227*ii, 3.48234e-9-4.08118e-9*ii, -.021791+1.22135*ii, -.816117+.136401*ii, -2.93962-.607064*ii, -3.6375e-17-8.33249e-18*ii, 2.57446+1.05798*ii, -.475976+1.21206*ii, -1.24509-.465184*ii, -.944395-.66545*ii, -3.04621-1.27215*ii
-1.49763e-17+5.67763e-18*ii, .724684-1.21573*ii, -1.21772e-9+3.0776e-9*ii, 1.80574+.007930*ii, .361771+.606905*ii, .403535+3.37354*ii, -4.23988e-17-1.00776e-16*ii, -3.36583-.531753*ii, .151427+1.1635*ii, -1.0871+.328857*ii, -2.13496+1.29564*ii, 1.58515-2.21828*ii
-1.97255e-17+2.61762e-17*ii, -4.39689+1.00419*ii, 2.68717e-10-1.7042e-10*ii, -.148252-1.00578*ii, -.216159-.0493677*ii, -2.78919+.856829*ii, -1.26562e-16+2.7664e-18*ii, -5.00619-1.76443*ii, 3.10573-1.97952*ii, 2.58908+2.64057*ii, -3.29608+15.1261*ii, 1.79596+1.58069*ii
-5.65951e-17+1.33584e-16*ii, -3.10416+3.83991*ii, 3.33104e-10+5.02294e-10*ii, 1.0753-.664106*ii, -.12732-.157498*ii, .631213+.570744*ii, 7.2954e-17+1.52194e-17*ii, -.496472+.0337479*ii, -4.70223+.262585*ii, -5.49731-.370677*ii, 2.98229-1.074*ii, -.116147+.942457*ii
-9.97555e-17+5.9460e-18*ii, 3.50739-.52994*ii, 3.36968e-11-2.08177e-10*ii, -1.17007+23.2783*ii, .278749+.0421168*ii, -.034314+.770332*ii, -4.82249e-16-6.91812e-17*ii, -5.79661+.861689*ii, -1.10112-12.438*ii, 23.4621+10.1328*ii, 4.82733+12.0622*ii, -3.14679+4.57842*ii
-6.1099e-17+6.29678e-17*ii, -.103585-.571388*ii, 1.41219e-8-1.24897e-8*ii, -.666192+.437594*ii, -.307179+1.69444*ii, -.116688-.12034*ii, -6.51955e-17-6.42152e-17*ii, -.931859+1.38368*ii, .331184-.8462*ii, -1.20955-.125813*ii, .338859+.24771*ii, -.310218+.164277*ii
-4.89349e-18-4.39894e-19*ii, .1593-.273781*ii, 7.80264e-10+9.84108e-10*ii, -.640284-.055599*ii, 1.58772+2.72874*ii, .904622+2.62581*ii, -2.73652e-17-1.05152e-17*ii, 2.18544+1.27925*ii, 1.45863-1.51357*ii, .139618-.52157*ii, -1.99297-2.56893*ii, 2.66208+3.91471*ii
7.70319e-17+3.27661e-17*ii, .495979-1.59702*ii, 1.21811e-10-2.25353e-9*ii, 1.61643+.248311*ii, .177359+.571084*ii, -.670016+1.12674*ii, -2.51957e-17-9.29464e-18*ii, -.428962+.232527*ii, -.793994-.800708*ii, -1.29811-.255742*ii, 2.86208-2.34819*ii, .9428+.432243*ii
6.9572e-18+5.44728e-17*ii, .497428+3.51052*ii, 9.59745e-10+8.23313e-10*ii, -2.28526+2.86284*ii, .0395689-.279251*ii, 1.0093+.140887*ii, 1.54896e-16+3.47197e-16*ii, 1.85226-2.84162*ii, -1.39186-2.7664*ii, -3.9185-.685498*ii, .50804-.200582*ii, -.500043+1.02823*ii
-1.21129e-16-3.8342e-18*ii, -1.25175-1.78374*ii, -2.05797e-9+8.13017e-9*ii, -.850692+4.32548*ii, -.263603+.375634*ii, -5.63357+.631819*ii, -8.05638e-16-1.38374e-16*ii, 4.88919-.793061*ii, .333415-3.89184*ii, 1.11665+1.0197*ii, -.338748+1.93836*ii, 3.72093-1.27672*ii
-9.12728e-18+2.11555e-17*ii, .88365+.497097*ii, -1.06518e-8+5.70355e-9*ii, -1.36186+.984703*ii, .85963-.483584*ii, 1.29493+.325049*ii, 2.69714e-17+2.27638e-17*ii, -3.56914-.318028*ii, .215343+.226558*ii, -.120767-.558996*ii, -1.03019+.750237*ii, -.347268-.668239*ii
-1.17677e-17-6.81753e-18*ii, -.379755-.455336*ii, 1.61249e-9+8.72102e-10*ii, 1.01577+.602602*ii, -1.08025+1.29524*ii, .0604738+.286871*ii, 1.61166e-17-2.43888e-17*ii, .798045+1.9775*ii, 1.83383+.055632*ii, -2.87266+1.77793*ii, .373303+.880557*ii, 1.66676-.111564*ii
1.32682e-17-5.9481e-18*ii, .165592-.135238*ii, 8.83382e-10-2.59784e-10*ii, -8.09355-5.63616*ii, 3.62267+2.9586*ii, -.736611-2.5468*ii, -3.98155e-17+7.9613e-19*ii, -4.42429-3.80238*ii, -14.3252-1.60692*ii, -.382405-1.61273*ii, -10.692-10.9166*ii, -20.2551-3.48679*ii
1.03839e-17-1.15002e-17*ii, .290457-.12302*ii, -2.45803e-9-2.46218e-9*ii, -.926666-.806096*ii, 2.91919+1.23639*ii, -.763104+.498481*ii, -2.68561e-17+9.83797e-18*ii, -4.4266-3.68933*ii, 2.72791-4.1415*ii, 1.84175-.661655*ii, -1.07409+3.85125*ii, -4.89931+2.82409*ii
1.86018e-17-9.82157e-17*ii, -.0032825-.110445*ii, 4.21803e-10+2.95818e-10*ii, -6.66+1.00404*ii, -.26887+9.04632*ii, 5.46922+10.8669*ii, 4.51627e-16-2.10827e-16*ii, -.446963-1.1297*ii, 3.57582+1.93874*ii, -.0938999+.015864*ii, 6.86136+11.4193*ii, 8.63044-5.95432*ii
1.66375e-17+1.71822e-18*ii, 1.49307+3.05221*ii, -2.07334e-9+2.85841e-10*ii, 2.0793-2.49498*ii, .129323-.26437*ii, -1.57272+.18912*ii, 9.14862e-17+5.78932e-17*ii, -5.76098+3.9102*ii, .812587-.105492*ii, -.573138-2.71803*ii, -.417929+4.15271*ii, 1.28449+.164605*ii
-1.07253e-17-2.53747e-16*ii, 2.98946+.469062*ii, -3.97958e-9+5.27371e-9*ii, 4.00263-4.00098*ii, .326471-.0512249*ii, -7.51364-2.19838*ii, 3.78639e-16+4.47923e-16*ii, -.039542+3.93925*ii, 3.34631+3.37041*ii, -1.61097+1.75396*ii, -1.28678+4.42523*ii, 4.71685-3.96379*ii
3.75358e-17+2.79482e-17*ii, -.545311-.382249*ii, 1.74274e-9+1.15733e-9*ii, -.664991-.213497*ii, -1.22962+.861933*ii, .327326+.17966*ii, -3.23924e-18+2.45823e-17*ii, -.160125+.403423*ii, .73768-.756735*ii, -2.44813+1.9594*ii, -.130927+2.10445*ii, 1.24449-1.24193*ii
-1.00828e-17+1.75523e-17*ii, 2.36668-6.44134*ii, -1.3205e-9-4.95628e-9*ii, -3.9511-3.28194*ii, .0502564+.136782*ii, -1.00206+1.83*ii, 2.46651e-16-6.34877e-17*ii, -5.68224-5.34553*ii, -4.8095+2.09691*ii, .762103-1.55148*ii, -1.49709-.209306*ii, -.299106+.432117*ii
6.10602e-18-4.16729e-19*ii, -.516881-1.40601*ii, 3.15504e-10-3.41777e-10*ii, 3.18508+5.26116*ii, -.230336+.626556*ii, -.0053086+.258567*ii, 2.7613e-17+2.22938e-18*ii, .822147-3.5616*ii, 3.97151+3.64944*ii, -1.43115+4.3129*ii, -3.17132-4.03477*ii, .501316-.603449*ii
-6.75653e-18-6.26004e-18*ii, -.122923+.119255*ii, -2.22164e-10+6.04202e-10*ii, 9.08001-2.77213*ii, -4.19076-4.06571*ii, .504317+.094955*ii, -4.17812e-17-1.95975e-17*ii, 3.89095-2.0869*ii, -1.34411-3.36888*ii, 1.35675-1.24789*ii, -1.36034+3.12754*ii, -5.39894-1.16616*ii
-5.35028e-17+6.28829e-16*ii, 4.59628+1.52596*ii, -1.60772e-9+1.16086e-8*ii, -1.85112-.850327*ii, .195967-.0650607*ii, 5.0563-1.71426*ii, 6.36973e-16+1.61494e-15*ii, -.486484-.705063*ii, -3.61387+.099238*ii, -1.92959-1.69439*ii, 1.0488+1.01599*ii, -2.82338-.206948*ii
-6.07037e-18+1.12325e-17*ii, .235551-.402022*ii, 2.89382e-9+2.42824e-9*ii, .266016-2.13944*ii, 1.08496+1.85173*ii, .46397-.0184552*ii, 3.61189e-17-2.12751e-17*ii, -2.19076+1.28869*ii, 1.7493-.027587*ii, .298236+2.5336*ii, -.344533+.756164*ii, -1.96569+1.61223*ii
-1.51655e-18-1.72087e-18*ii, -.0350914+.0621577*ii, -5.12188e-12+6.09775e-12*ii, .65576-9.33303*ii, -6.88743-12.1998*ii, .00904552+.0143515*ii, -8.86936e-18-1.79306e-17*ii, 12.1249+1.50551*ii, 11.1565+11.8601*ii, -6.4995-8.89429*ii, -14.5656-19.9207*ii, -2.59372+.356546*ii
5.31892e-18-9.38706e-18*ii, .126263-.353076*ii, -1.28185e-9+1.1293e-9*ii, .192673-1.12486*ii, .898001+2.51112*ii, .694052-.147112*ii, -2.05814e-18+1.25295e-17*ii, -3.15226-.894876*ii, 4.11522-1.62778*ii, .680009-1.07454*ii, -3.14501-3.55575*ii, 2.40583+.028653*ii
4.03956e-17+2.73669e-18*ii, -.206514-.521001*ii, -6.27697e-9+1.04021e-8*ii, -.962901+.980036*ii, -.6575+1.65876*ii, 1.02333+.338095*ii, -1.06151e-16-8.0226e-18*ii, -1.88268-.65119*ii, -.564654+.569615*ii, -.373882-.233189*ii, .884095+.62293*ii, .805235-.263862*ii
-6.07677e-17+6.31855e-17*ii, .261518-1.49294*ii, -3.43561e-9-3.27015e-9*ii, 1.25743-.81136*ii, .113839+.64988*ii, -.303665-.544111*ii, -6.88654e-17+9.30969e-17*ii, 1.97102+.279286*ii, -.231094+.657936*ii, 1.02899+1.22551*ii, .014448+.706989*ii, .646043+.12418*ii
-4.65381e-17+4.60332e-18*ii, -.422945+.73425*ii, 8.23323e-9+6.41215e-9*ii, .119018+.936959*ii, -.589055-1.02262*ii, -.746282+.010850*ii, 1.07521e-16+8.4548e-18*ii, .088621+.760112*ii, -.930168+1.87919*ii, -2.41385-1.05916*ii, -.76513+.227125*ii, -.28637-2.3041*ii
3.03529e-18+8.4609e-18*ii, 4.11993+.910849*ii, -3.83378e-9-7.27985e-10*ii, .344938+2.07868*ii, .231412-.0511614*ii, -2.28437-1.23465*ii, -2.44139e-17-8.52991e-17*ii, -2.59782-.590848*ii, -1.64946+.653505*ii, -.553418-.702138*ii, 2.27037-.41104*ii, .208962+.508963*ii
2.69518e-16+2.06587e-16*ii, .366566-1.30172*ii, 9.98067e-9+6.48047e-9*ii, 1.06832+1.56097*ii, .200435+.711769*ii, -.625197+.30912*ii, -2.00728e-16-4.41013e-16*ii, -.995921-.058946*ii, .391295+.111404*ii, 1.48347-1.87573*ii, -.384464-.472379*ii, -1.23076+.079528*ii
-1.37154e-17-1.42714e-17*ii, -.990744+1.34801*ii, -1.24239e-9+2.82396e-9*ii, -.319696-1.35879*ii, -.354-.481655*ii, -1.2068-3.40527*ii, -2.84078e-17+6.04372e-18*ii, -.419725-2.12269*ii, -.310981-3.72558*ii, -.288404+.376711*ii, -4.67548-.540923*ii, -.323258-.972234*ii
1.09991e-17+2.73648e-17*ii, .216622-.224029*ii, -8.35367e-9-5.53818e-9*ii, 1.59174-.898572*ii, 2.23059+2.30687*ii, -.428278+.576236*ii, -4.0546e-18+9.48284e-17*ii, 2.71051-.844165*ii, -.117345-.498213*ii, .196558-.619455*ii, .248077-.422151*ii, -.264854+1.47366*ii
