variable ordering: Fc, Fg, w, m1, m2, d1, d2, p
2.83958e-32-9.83315e-32*ii, 7.79129e-33-8.30765e-33*ii, 1.03915-.041547*ii, .463416-.339461*ii, 1.24272e-32-4.65752e-33*ii, .517871+1.26178*ii, -1.39422+.521664*ii, -.127803-.135248*ii
-7.10368e-32-9.97039e-32*ii, -3.08195e-32+5.76815e-33*ii, .449563+1.76356*ii, -.708284-.999133*ii, -1.17381e-32+2.86689e-33*ii, -.288092+.441115*ii, -1.47053-.342811*ii, .173269+.387882*ii
5.85356e-30+1.32913e-30*ii, -2.31379e-32+6.28634e-33*ii, -4.73543-1.26658*ii, -11.0549+7.23002*ii, 4.62586e-34-7.15262e-34*ii, -3.10519-13.3963*ii, -2.02153-1.34415*ii, -5.60971+1.57521*ii
-2.77327e-31-2.5251e-31*ii, 1.55233e-32+4.03992e-32*ii, -.662211+2.24094*ii, 1.89967-.824701*ii, -3.97354e-33-3.74568e-33*ii, .661992-.950282*ii, 1.81549+2.95108*ii, 1.01485-2.31959*ii
1.94469e-62-3.88938e-62*ii, 3.88938e-62-9.72346e-63*ii, -.997118-.953483*ii, -.316893+.0601429*ii, -9.72346e-63-1.94469e-62*ii, .91069+.693361*ii, .200255-1.2037*ii, -.312171+.260998*ii
-9.40521e-32+1.8413e-31*ii, -1.71808e-31+1.18725e-31*ii, -3.86706+1.10026*ii, 3.275+.098522*ii, -3.6199e-33-1.64087e-33*ii, .937969+1.96019*ii, -.163999-2.13807*ii, -1.9331-.568558*ii
2.02248e-60+1.32239e-60*ii, 6.22302e-61+7.7788e-62*ii, -5.95423-1.53873*ii, 2.70503+10.4984*ii, 6.68488e-63-2.24855e-62*ii, 1.67256-.949854*ii, 5.98207-2.584*ii, -3.06912-5.15817*ii
-2.73691e-48+4.78959e-48*ii, 1.53951e-48+1.1974e-48*ii, .32876-1.50197*ii, -.408622+1.73652*ii, 1.71057e-49-8.55285e-50*ii, -2.54949+.254924*ii, .399318-.727326*ii, -.383169-1.08185*ii
5.15382e-32-1.04791e-31*ii, -1.5344e-32-2.3796e-32*ii, .436095+.56911*ii, -.289043+.221607*ii, -4.91455e-33+9.73696e-33*ii, 1.30387-.422991*ii, -.428238+1.00853*ii, -.300449+.726513*ii
2.97359e-31+4.45699e-31*ii, -1.28844e-32-1.89619e-32*ii, .994217+3.68133*ii, .308807-1.43341*ii, 2.57024e-33+2.70662e-33*ii, -4.14704-2.68816*ii, 1.25256-.71394*ii, 2.99006-1.18772*ii
-4.30056e-31+4.49971e-31*ii, -5.3127e-34-2.88758e-32*ii, .377091-.340267*ii, 1.585+3.34858*ii, -1.98772e-33-8.30908e-33*ii, -1.85576-3.49821*ii, -.105321-1.18874*ii, 2.54704+1.03074*ii
1.00445e-31+3.36658e-31*ii, -1.20943e-31+3.7061e-32*ii, .28763-.368235*ii, -.445691+1.08149*ii, -1.64283e-32-3.08485e-32*ii, .213818+.943112*ii, -.185848+.872432*ii, 1.13163-.020438*ii
-5.73291e-31-8.64806e-31*ii, 2.63523e-31+4.86996e-31*ii, 1.68682+4.16263*ii, .879245+.01211*ii, 1.27132e-32-1.99339e-33*ii, -2.69341+2.64616*ii, 3.7013-1.16895*ii, -.899986-7.61772*ii
3.49911e-31+2.68556e-32*ii, -8.94063e-32-1.53819e-33*ii, .810309-1.1286*ii, .643105+.726516*ii, -3.00566e-32-2.406e-35*ii, -.219261-1.75882*ii, -1.2856+.035093*ii, -.279927-1.47532*ii
-7.47713e-32+3.77266e-32*ii, 2.14266e-32+4.30618e-32*ii, -.191024-.344539*ii, .753589-1.10552*ii, -8.53589e-33-2.38682e-32*ii, .961196+.349441*ii, .1429-.141402*ii, .497469-1.00063*ii
8.31474e-32+2.51811e-31*ii, 1.43946e-32-1.10937e-32*ii, .616288+1.71865*ii, 3.17009-2.28521*ii, -4.75621e-34+4.89871e-33*ii, 3.48334-.094955*ii, .70229+1.21197*ii, -.619647-.50136*ii
-1.23527e-32-1.39626e-32*ii, 3.25166e-32+4.95074e-33*ii, .264768-.895268*ii, .698626+.539186*ii, -3.61564e-33+3.1835e-33*ii, .055688-.598121*ii, -.644507-.125691*ii, 2.06447-1.08344*ii
-1.34713e-31+2.11734e-31*ii, 6.7321e-33-5.87931e-33*ii, -.234142+3.30365*ii, 4.00041+2.38595*ii, 1.25264e-34-4.84259e-34*ii, -1.16248+.844123*ii, -3.34807-4.70331*ii, -1.84626-1.59284*ii
1.78599e-32-1.24193e-32*ii, 2.70513e-31-6.74544e-32*ii, -.147202-1.83212*ii, -1.67612+.757817*ii, -3.22088e-34-1.12892e-34*ii, 1.71296-.197104*ii, -1.88325-.230469*ii, -.798874+2.86619*ii
1.03523e-30+6.1288e-32*ii, 5.62364e-33+2.43499e-33*ii, -1.35889-1.48805*ii, 1.99862+1.4743*ii, -2.42418e-34+3.33494e-34*ii, -7.86355+5.85837*ii, -.612323+5.48527*ii, -.303576+2.69626*ii
4.9626e-31+4.34463e-32*ii, -2.77531e-32+4.73471e-33*ii, .494132-.914699*ii, 1.41689-1.2856*ii, -2.30833e-33+2.36584e-33*ii, -1.23695-.031891*ii, -1.46226-3.68672*ii, -2.4839-2.33157*ii
9.02244e-32+8.17332e-33*ii, -2.90458e-33-3.89581e-32*ii, -1.71371+1.02884*ii, -1.08969-.230852*ii, 1.44386e-32+5.9175e-33*ii, -1.08755-.088599*ii, -.449181+.444971*ii, 1.75612+.187958*ii
-5.14014e-31+3.50831e-31*ii, 1.83474e-32+1.86183e-31*ii, -2.02031+2.11363*ii, 1.05152+4.63968*ii, -2.75785e-33+4.15004e-33*ii, 1.37735+.64117*ii, .523538-.921094*ii, -.954792+2.12251*ii
-5.76998e-31+1.07334e-31*ii, -1.58836e-32-5.53298e-33*ii, -.873201-1.00327*ii, -.701332-1.06396*ii, -1.5064e-32+4.45675e-32*ii, 2.72358-.504764*ii, -.759139-1.0229*ii, 1.35181-2.45592*ii
-2.10621e-31+1.37176e-31*ii, -1.85852e-32-1.1014e-32*ii, 1.5882+.546397*ii, .237562-.732136*ii, 6.60236e-33-2.00204e-33*ii, -2.10041+3.91861*ii, 1.08399-.369497*ii, -1.61676+4.8557*ii
-3.97282e-32-4.42147e-31*ii, -5.51096e-32+6.55211e-32*ii, 2.16923+.537889*ii, -1.4825-2.43935*ii, 1.72011e-33+2.83448e-33*ii, .680242-1.96423*ii, -2.82272+.633*ii, 3.91437-1.8882*ii
-1.03276e-31+7.06637e-32*ii, -1.77844e-31+6.71499e-32*ii, -2.03766-.664181*ii, .262734-.473675*ii, -1.05541e-31-4.9991e-32*ii, -.63649-.084839*ii, .0915967-.244776*ii, -.253196-1.05739*ii
4.652e-32-6.66647e-31*ii, 1.57593e-31+6.71746e-32*ii, .443132-.502516*ii, -.309046+1.47753*ii, -6.93955e-33-1.19166e-32*ii, -2.15201+2.64512*ii, 2.06845-.590346*ii, 1.43016+1.25831*ii
-1.51042e-62+7.93638e-63*ii, -1.45852e-62+1.03312e-62*ii, .981202-.426783*ii, .479584+.853906*ii, 3.6463e-63-4.86173e-63*ii, .304289+.78621*ii, -.242858-.779708*ii, .849458-.623427*ii
-3.34111e-31-1.56918e-31*ii, -4.024e-32+3.14061e-32*ii, -.968244-1.14011*ii, -.393637+3.46504*ii, -2.23467e-33+2.28639e-33*ii, 1.00267+1.22181*ii, 1.50447-1.21928*ii, -1.04005+2.71979*ii
6.42653e-32+6.76293e-32*ii, -4.26208e-33+7.1786e-33*ii, 1.63607-.020792*ii, -.508386-.453738*ii, 7.17341e-34+7.36154e-34*ii, 2.74988-.171888*ii, -4.67326-.396401*ii, .646964+2.05398*ii
6.43711e-32+1.31296e-31*ii, 1.51171e-32+8.9249e-33*ii, 1.35412+.793407*ii, 2.51352-3.98706*ii, 2.90672e-34+6.66495e-34*ii, -2.55069-.151814*ii, -.584148+1.48379*ii, -4.18071-.953365*ii
9.85106e-33+4.7091e-32*ii, -1.39351e-31+9.64187e-32*ii, -.106543+.169489*ii, -.351616-.585928*ii, 1.04963e-32+3.96742e-32*ii, -.572717+.004231*ii, .252287-.439651*ii, -1.32553+.723706*ii
-1.43022e-32-8.5272e-32*ii, -3.90356e-32-1.15341e-31*ii, 1.59123-.426152*ii, .910027-.391183*ii, 4.46816e-32+2.30149e-32*ii, .0579187-.0265887*ii, -.155767+.272016*ii, -.27191-.930362*ii
-3.67089e-31+9.84563e-31*ii, 7.14379e-32+2.48382e-32*ii, 3.75687+.895355*ii, -1.07767+.944664*ii, 1.31868e-34+9.55017e-34*ii, -.08987+1.38271*ii, 3.53947-.302184*ii, -2.35787-2.41742*ii
4.14712e-31-9.33601e-32*ii, 3.63377e-32-1.97766e-33*ii, .807618-1.21963*ii, -1.33181-.661587*ii, 6.11014e-34-1.109e-33*ii, -.583457-.176741*ii, -2.08622+2.00764*ii, .546198+1.05998*ii
1.36846e-48+7.52651e-48*ii, -3.42114e-48+2.56585e-48*ii, -.556454-.509197*ii, .520211+1.13804*ii, 3.42114e-49-8.44594e-49*ii, -.824746-.808387*ii, 1.18467+.130593*ii, -1.32058+.031994*ii
2.45918e-31-2.63393e-31*ii, -1.31159e-32-4.66206e-32*ii, .583458+.814351*ii, -1.91347+1.93232*ii, 1.04348e-33-7.02864e-33*ii, -.327976-.1173*ii, -2.40798+.56191*ii, .941178+.316482*ii
-2.4228e-33-2.60948e-31*ii, 5.68566e-32-8.29458e-32*ii, -.302154+2.3282*ii, .316907+2.13055*ii, -4.665e-33+3.03099e-34*ii, -1.43963+.543411*ii, .122045+.851425*ii, -2.46576-.748946*ii
5.00955e-31+6.7064e-31*ii, -6.817e-32+1.05988e-31*ii, .075367+.562805*ii, -.408134+.440887*ii, -2.70749e-32-2.2096e-34*ii, .341741+1.37023*ii, -.849708+1.32999*ii, -1.61698-1.66966*ii
1.07913e-32-2.13684e-31*ii, -2.4727e-33-1.34096e-33*ii, -3.75938+2.84733*ii, .84671+1.10667*ii, -1.92255e-34-4.92243e-34*ii, 4.62616-4.00324*ii, 2.48488+4.55119*ii, 1.06735-.105838*ii
3.06e-33+2.74275e-31*ii, -3.17071e-32-5.33012e-32*ii, -1.82756+1.47941*ii, -1.27266-1.20777*ii, 9.50919e-33-7.58492e-33*ii, .824893+.590853*ii, .068372+1.50971*ii, -.519009+1.41273*ii
-1.36846e-48+6.84228e-48*ii, -3.42114e-48, .55632+1.89447*ii, 1.22596-1.00762*ii, 3.42114e-49+2.9935e-49*ii, -.317421-.28411*ii, .179291-.160125*ii, -1.22828+.434093*ii
-6.81845e-31+4.48394e-31*ii, -6.08878e-33-1.15845e-32*ii, 2.86652+.24702*ii, -4.12689-3.30908*ii, 1.34837e-33-3.51421e-33*ii, 2.07784+7.96689*ii, -2.0313+.388652*ii, .568351+3.47502*ii
-1.38851e-31-1.65377e-32*ii, 2.43891e-32-1.06248e-31*ii, -.004658+.643726*ii, -.47848-.818281*ii, -1.06395e-32+6.05642e-32*ii, -.833127+1.44224*ii, 1.29078-.204077*ii, .226141-1.27294*ii
8.48947e-32-7.03034e-32*ii, 7.60812e-32+9.45642e-32*ii, -1.24628+.532565*ii, .543732-2.17329*ii, -2.02637e-32+5.79508e-33*ii, -.262782-.0914948*ii, .483446+.835167*ii, .584638+.856333*ii
-3.52475e-62+2.49164e-62*ii, -2.18778e-62+2.73472e-62*ii, .248085-.143882*ii, -.360795+.246518*ii, 9.72346e-63-7.2926e-63*ii, .311979-.525409*ii, -.919708+1.16901*ii, .440884+.898742*ii
1.08748e-31+4.17131e-31*ii, 2.0293e-32-2.51808e-32*ii, -.439176-.349024*ii, 2.52755-1.78481*ii, -7.83557e-33+1.51486e-33*ii, -.694732-.251326*ii, -1.44386-1.93518*ii, .0557753+.172567*ii
-6.84228e-48+2.73691e-48*ii, -4.10537e-48-3.42114e-49*ii, .924529-.529042*ii, -1.18333-.14972*ii, -1.71057e-49-3.5922e-48*ii, .19857-.310662*ii, 1.17515-.454669*ii, -1.39586-.233663*ii
4.72605e-32+1.64375e-31*ii, 1.96782e-32-3.02637e-33*ii, -.933826+1.45189*ii, .134694-.415763*ii, -3.54274e-33+1.73001e-33*ii, .743848+.684001*ii, 2.35468+.125164*ii, -.827027-.929823*ii
-4.59859e-31-1.21581e-30*ii, 3.04092e-31-5.04669e-31*ii, .261863-.714778*ii, .443107-1.8758*ii, -2.45393e-32-2.59675e-32*ii, 2.04728+.227971*ii, -1.54983-1.64702*ii, 1.86474+.541146*ii
6.30015e-33+5.67846e-32*ii, -6.94068e-32+1.90693e-32*ii, .319421-.884942*ii, .821431-.846782*ii, -4.07431e-33-2.67856e-32*ii, .504957+.243115*ii, -.145152+.499603*ii, .577762+.630603*ii
3.92739e-32+5.24706e-32*ii, -8.04378e-32+1.25914e-31*ii, -.864845+.468672*ii, -.19278+1.65678*ii, 1.55408e-32+1.31036e-32*ii, .734511+.462474*ii, -.328672-.170264*ii, -.724193-1.09747*ii
5.93293e-31+9.27182e-32*ii, 7.36773e-32-1.1157e-32*ii, -2.63727-.851645*ii, .246735-.586569*ii, 1.74726e-32-4.9215e-34*ii, 4.07688-1.65658*ii, -1.28052-.088299*ii, 2.21041+.552665*ii
-1.72944e-33+4.39737e-33*ii, -9.23764e-33-4.72174e-33*ii, -.831463-.24476*ii, .486863+.327197*ii, -1.24326e-32-1.36688e-33*ii, -.0946491-.276718*ii, .285304-.911861*ii, .663183-.083021*ii
1.08169e-31+7.4044e-32*ii, 1.18008e-33-2.11522e-32*ii, -.474905-.123626*ii, 1.3086-.877965*ii, 8.47924e-33+6.01515e-33*ii, -1.83832-.560356*ii, -.844082+1.74855*ii, 1.17867-1.57083*ii
3.40589e-31-8.52096e-31*ii, -8.54958e-32+2.13341e-33*ii, 1.64259-.723643*ii, -1.83463+.247402*ii, -1.0992e-34+6.6704e-33*ii, .350993-2.49052*ii, -2.9841+1.04227*ii, 1.57005+.098899*ii
-1.23844e-32+1.49901e-31*ii, 1.58491e-32+2.70164e-32*ii, -4.73838+2.43804*ii, -1.07633+3.6229*ii, 3.09036e-34+1.71124e-33*ii, -3.07265-.959191*ii, .147471+1.41571*ii, 4.51077-2.41208*ii
-6.69023e-31-1.18335e-30*ii, 2.42632e-31-4.57588e-31*ii, .695876+.30493*ii, -1.36017+.737837*ii, -7.47339e-32-8.23769e-32*ii, -.110565-1.07945*ii, .415792-.359986*ii, -.981404-1.26517*ii
1.51661e-32+2.08946e-31*ii, -8.84585e-33-5.1625e-32*ii, -2.06087+2.07711*ii, -.287807-.713071*ii, -2.7460e-34-2.42772e-32*ii, 1.76557+1.89264*ii, -1.05193+.205911*ii, -1.07725-1.39844*ii
6.87256e-32-6.83662e-32*ii, 1.31242e-33-5.94674e-32*ii, -.802368+1.10176*ii, .260757+1.23298*ii, 3.55977e-32-9.1712e-34*ii, -.65507+.207387*ii, .856584-.063114*ii, .355128+.924892*ii
3.83966e-30-2.40999e-30*ii, 3.10832e-32-5.32989e-32*ii, 5.71617+4.66375*ii, 2.0079+12.0181*ii, -2.30345e-34+3.49446e-34*ii, 8.61323+3.29342*ii, -1.22589-5.98166*ii, 12.5359-.28915*ii
9.91575e-32+5.4046e-32*ii, -1.29484e-32+1.32723e-32*ii, .961084+.009625*ii, -.935475-.220969*ii, -3.27638e-33-4.89247e-33*ii, .092347+1.1017*ii, .175835+1.4377*ii, 1.06266+.14171*ii
-5.22085e-32+5.51643e-33*ii, -2.94111e-32+1.50773e-32*ii, .446985-.530329*ii, .846088-.770229*ii, 8.02913e-33-6.29543e-32*ii, 1.08564+.719587*ii, .204323-.277849*ii, .714838+.053687*ii
-2.50847e-31-5.1525e-31*ii, -5.5692e-32-4.31061e-31*ii, 1.89462+.211268*ii, 1.50064+.691058*ii, -5.43953e-32-1.15431e-32*ii, -.538356-1.39289*ii, 1.30388+.908585*ii, -1.86948+.532168*ii
3.10856e-33+5.67545e-32*ii, -1.40588e-33-1.02164e-32*ii, -.0134272-.476261*ii, -1.15321+.556611*ii, 1.77869e-33+6.44064e-34*ii, .73984-.636104*ii, 1.02258+2.55972*ii, -1.90001+.731295*ii

