variable ordering: f1, f2, Eph1, Eph2, Eel1, Eel2, p1, p2, pel2, lambda1, lambda2, h, mel, c, cosTh
.247501+.931841*ii, .182839+1.83321*ii, 3.51572-2.37462*ii, .0868282-.032084*ii, -4.67935+1.88177*ii, -1.25046-.460769*ii, .140209+2.69358*ii, -2.11073+.315556*ii, 1.58197+1.35386*ii, 1.62487-1.90858*ii, .68014-1.12169*ii, -1.44433-4.15649*ii, -.25281+.825716*ii, 2.18065+1.04175*ii, .475099-.218128*ii
.118445+.215011*ii, 3.79499-4.58589*ii, .412211-.494754*ii, -3.11436+2.72716*ii, -1.17202+.80021*ii, 2.35455-2.4217*ii, -1.56665+5.08694*ii, -1.22751-2.48656*ii, 2.90244+.030104*ii, 1.47916+4.08592*ii, -.179128-.0051305*ii, -.955094-2.44331*ii, -.562786-1.11303*ii, -.703316+.801992*ii, -1.16747-.531604*ii
-1.35584-.811065*ii, 2.96044+2.66923*ii, -.65603-.510789*ii, -1.95079+1.20365*ii, -.498393+.258615*ii, .796364-1.45582*ii, -.323458+.001556*ii, -.993422+.847818*ii, .424934-.439972*ii, -1.09693+1.27861*ii, .328558-.581303*ii, .52231+.064286*ii, -.0781612-.0131448*ii, 2.52431-.843913*ii, 1.35923-.877902*ii
3.59204+.336939*ii, -1.56714+2.25035*ii, 5.38426+1.05669*ii, .806042-.58023*ii, -3.18143-1.56313*ii, 1.39679+.073792*ii, -3.28003-.197299*ii, .76381-2.18078*ii, -1.69611+3.04881*ii, .26619-.0218222*ii, -.197411-.290687*ii, 1.51322+.152233*ii, -3.465-1.60267*ii, .963517+.011303*ii, .174267-.998873*ii
.277343-.0151847*ii, .322521+.315113*ii, .00245437+.00585927*ii, -.0412673+.00714256*ii, -.00337394-.00319795*ii, .0403478-.00448123*ii, -.436193+.224274*ii, .132016+.360855*ii, .443902-.0145183*ii, .329305-.0097738*ii, .132691-.153552*ii, .00766992+.0215464*ii, -.333069-.444151*ii, .0911818-.0077111*ii, .488217-.134629*ii
-.135699+.168825*ii, .23013-.159252*ii, -1.00281+1.35784*ii, -.346481+3.97429*ii, .148673-4.47495*ii, -.507656-7.0914*ii, 1.3323+.034116*ii, -2.96701-.40905*ii, 2.65705+4.4955*ii, 1.37283+4.74493*ii, -2.06317-3.21852*ii, 7.78661-.318798*ii, -2.68787-2.84159*ii, -.987354-.412112*ii, -2.47878+3.11944*ii
-.749102-1.75089*ii, -.20854-.0157633*ii, 1.97582-1.94975*ii, -.621423-1.95134*ii, -.211634-.57096*ii, 2.38561-.569373*ii, -3.92003+4.3582*ii, 1.55621-3.45252*ii, -1.73267+1.85446*ii, .434569-.289976*ii, 4.16889+2.29187*ii, .533176+1.35658*ii, -.614055-.036660*ii, -.833252-.543661*ii, -.908551-.087811*ii
-1.33106+.169676*ii, -.0206226-.269267*ii, -1.82075-3.07345*ii, .706248-.099827*ii, 1.75169-2.318*ii, -.7753-5.29162*ii, -.060603+1.30344*ii, -.14892-1.77061*ii, -3.05355+1.89498*ii, -.435399+1.04781*ii, 5.30854+1.89859*ii, 1.05639+2.44369*ii, -.141414+1.24536*ii, .401752-1.46857*ii, -2.36811+2.48846*ii
.0749024-.421753*ii, .297741-.268983*ii, -.820724+.06209*ii, -.041029-1.31294*ii, -3.07372+.754945*ii, -3.85342+2.12998*ii, -2.77865+1.87756*ii, .166532+1.00562*ii, 2.44002+2.2943*ii, 2.39205-.202352*ii, 1.88432-1.73695*ii, -.477752-1.86114*ii, 2.72871-1.23034*ii, .093828-1.02401*ii, 2.00763+2.41006*ii
.71358+1.08474*ii, .370041-.201347*ii, 1.8156-.15229*ii, 1.95605+.428071*ii, -.035746-1.77606*ii, -.176189-2.35642*ii, -.639578-1.89134*ii, .317725+.731375*ii, -1.74111-.24774*ii, .658405+.200923*ii, -.447765+2.07387*ii, .67051-1.23268*ii, -1.1646+1.8943*ii, .251876+.857573*ii, -1.95604-.914965*ii
.525008+1.09719*ii, .036687-.0443436*ii, -.475412+.122732*ii, -.499991+.2121*ii, .0139261+.00654751*ii, .0385058-.0828196*ii, .490378+.720648*ii, -.120048-.0815625*ii, .525463+.784167*ii, -.0802761+.0079574*ii, .559718-1.6104*ii, -.0776862+.396125*ii, -.065665-1.597*ii, -.0508765-.0839006*ii, .386098+.267861*ii
-.124798+.0911712*ii, .0447773+.120515*ii, .0970531-.0101621*ii, .173221+.125097*ii, .00372127+.0190193*ii, -.0724466-.11624*ii, -.156276+.874337*ii, .287366-.146534*ii, .510731-1.04266*ii, .701115-.28709*ii, .561166+.717346*ii, -.545848-.317341*ii, -1.36033-.384048*ii, -.0613234+.0997497*ii, 1.25625+.112547*ii
1.59615-1.20676*ii, .698634+2.16581*ii, .94768-1.40517*ii, .661746-1.26601*ii, -.690825+.219099*ii, -.40489+.0799403*ii, -.995194-.639889*ii, -.601514-.030689*ii, .689865+.990984*ii, -.155433-.194193*ii, -.116267+.185248*ii, .801288-.274535*ii, -2.02978+2.10682*ii, -.482441-.122391*ii, .802234-.624635*ii
.825222+1.30994*ii, 1.19745-2.84269*ii, -.194035+.653069*ii, -.395114+.778845*ii, 1.70185-.774253*ii, 1.90292-.900029*ii, .114463+.12757*ii, .0505616-.290305*ii, -.455525-.0533986*ii, .070275+1.36554*ii, -.581997-.363695*ii, .290103+.330881*ii, .290614+.299347*ii, -1.73079+1.21893*ii, -2.1742-1.92948*ii
3.15716-.50521*ii, -1.10349+.442242*ii, -1.83672+.381851*ii, -.293964-2.32133*ii, -.813862-1.10142*ii, -2.35662+1.60175*ii, -1.31647-1.473*ii, -.0048162-.134429*ii, 1.66807+1.27106*ii, -.215152+.419408*ii, .813296-.972512*ii, -.586108+.027158*ii, .575302+.180362*ii, -.467381+1.43283*ii, 1.73036+2.60291*ii
.379674-.240813*ii, -.167565+1.68314*ii, .222643-.0181174*ii, .529241-.037681*ii, .121545-.0668918*ii, -.185053-.0473279*ii, .38213-.278025*ii, -.133911+.21315*ii, .569582-.594378*ii, .160475-.517038*ii, -.134497+.0511653*ii, .43976+.231205*ii, -2.34102-.059625*ii, -.0635812-.23495*ii, 1.72897-.177424*ii
-.263324+.531536*ii, .168109+.814002*ii, .100099+.0312462*ii, .00397239+.0596211*ii, .034287-.0761708*ii, .130413-.104546*ii, .318065+.209135*ii, .0277702+.456562*ii, .14847-.408702*ii, .122359-.594447*ii, .33011-.280412*ii, -.0277088-.174592*ii, -.506037-.399129*ii, .28375+.22157*ii, .704321-.386703*ii
-.432941+.208024*ii, .180861-.117887*ii, -1.92353+.591815*ii, -.041032+2.80541*ii, 1.1445-.786622*ii, -.738004-3.00021*ii, 3.07274-.320325*ii, -2.97505+2.0083*ii, 2.43955+2.22615*ii, 1.16794+1.7418*ii, -2.07536-4.17887*ii, 4.14321+.623809*ii, -.13087-1.36242*ii, -.867986-.511137*ii, -1.17254+.475012*ii
-2.58709-.349072*ii, -.0322474+.0592086*ii, -3.29391+.434675*ii, -3.47971-.323915*ii, .318746+.124146*ii, .504547+.882736*ii, -.586579+3.72015*ii, .987861+.609212*ii, 4.36129+1.92383*ii, -.0686901-.0429148*ii, .604055-3.07736*ii, 1.22818-.333734*ii, 4.04567-6.49455*ii, .162727+.135002*ii, .369614+3.93454*ii
-.067412+.506995*ii, -1.77092-.438756*ii, .667633-.223464*ii, 1.2736+.8597*ii, -.624847+.544056*ii, -1.23082-.539107*ii, 1.74423+.460429*ii, -1.33232+1.86971*ii, .904626-.605927*ii, 2.27389-1.50209*ii, -.488916-.587038*ii, -.605155-1.23638*ii, .41904+.0791938*ii, .608263+1.25411*ii, -.237063+.160808*ii
.242714-.328886*ii, -.249854-.544936*ii, .0434963+.408251*ii, 1.1915+.572706*ii, .265599+.0868119*ii, -.882401-.077643*ii, -.435406-.364315*ii, .098460+.980544*ii, -.702187-1.16932*ii, 1.51637-.047422*ii, .528625+.889144*ii, -.740446+.678694*ii, -.4556+.566066*ii, .352447-.510223*ii, .826349-.583639*ii
1.09792+.652912*ii, .55523+1.40026*ii, .622807-.081336*ii, .631474-.096091*ii, -.192922-.431865*ii, -.201589-.41711*ii, .096016-.685291*ii, .0863842-.302276*ii, .264944-.167728*ii, -.315073-.0239686*ii, -.224011+.147043*ii, .386516-.303936*ii, -2.89527+.215163*ii, -.330275-.232031*ii, 1.32042-.347077*ii
-2.09321-.234493*ii, 2.57246+.515846*ii, -2.52838-1.69368*ii, -.112859+2.05151*ii, 1.81628+.924668*ii, -.599248-2.82052*ii, 1.97589+.487464*ii, -1.27764+1.81132*ii, 1.37924-.113361*ii, .033283+1.08653*ii, -.101841-.866724*ii, 1.28245+.665464*ii, -.370353-.118237*ii, .185115-2.28214*ii, -.184314+.19071*ii
.795083-.031357*ii, 1.88305+3.34246*ii, 1.33237-1.56246*ii, .921081-1.4685*ii, -1.42464-.395392*ii, -1.01336-.489355*ii, -.929058-1.11227*ii, -.41379+.141269*ii, .720176+1.4489*ii, -.687315-.433269*ii, -.144994+.0858733*ii, 1.75054-1.89611*ii, -2.52637+2.47613*ii, -.560059-.322933*ii, .859588-.648795*ii
.075145-.566842*ii, -2.94216-5.44509*ii, .115339+1.58966*ii, 6.94221+4.3922*ii, -2.0177+3.05084*ii, -8.84457+.2483*ii, .0898+.773542*ii, -1.22658+4.904*ii, -.090182-1.64211*ii, 9.72901-.28807*ii, .743395+.505957*ii, -2.72947+.565314*ii, .0437923-.109666*ii, .567792-5.53646*ii, 2.7752+1.1996*ii
1.89778-1.36629*ii, -.0141386+.16651*ii, 2.07037-4.8516*ii, 2.03054+1.29676*ii, 1.71835+2.18896*ii, 1.75818-3.9594*ii, .691263-.123513*ii, .153099+2.69284*ii, 3.88149+2.95965*ii, .215306-.371158*ii, -5.90412+1.09291*ii, 1.93072-1.16646*ii, -1.24902-2.46576*ii, -.098505-.998547*ii, -6.53158+1.99303*ii
-1.5909+.60121*ii, .053043+.910694*ii, -1.00637+.756375*ii, -1.25387+.544526*ii, .541118-.722627*ii, .788618-.510778*ii, .370262+1.276*ii, .783198+.114336*ii, 1.36306-.545436*ii, -.231041-.203461*ii, .233441-.524328*ii, .71075-.206842*ii, -.258717-3.28303*ii, .489884+.184782*ii, 1.06999+1.32455*ii
-.660721+.883614*ii, .657175-3.35173*ii, -1.97951+3.6688*ii, .708779+.940566*ii, 1.30027-3.34951*ii, -1.38802-.621271*ii, -.900826-.449161*ii, .222973+.357565*ii, .87204+.502821*ii, 2.48753+2.47891*ii, -.376912-1.06997*ii, 3.73746-.554442*ii, .146819-.189002*ii, -3.83396+.560146*ii, -.110321+.0178796*ii
2.46874+.623159*ii, .29305-1.30732*ii, .461609+.584758*ii, -.174466-.432145*ii, .75062-.634404*ii, 1.38669+.382499*ii, -.635647-1.03815*ii, .209442-.0132327*ii, .183459+.759286*ii, -.341942+.731867*ii, -1.37302-.686806*ii, .231989+.178306*ii, .111287+.203922*ii, -1.30024+1.59371*ii, -1.56047-1.30495*ii
1.24838+.688944*ii, 1.95298-2.31854*ii, -4.12589-1.29252*ii, -.220777-.271136*ii, 2.73016+1.80365*ii, -1.17495+.782271*ii, 1.8411-1.09637*ii, -.162373+1.69201*ii, 1.77084-1.89739*ii, -.771581+.542279*ii, -.32078-.306377*ii, -2.9714+.604474*ii, 1.26011+1.29872*ii, -1.33683+.145394*ii, .253964+.148043*ii
.940654-.486483*ii, .551672+.785391*ii, -1.06363-.305336*ii, -.498823-.0320755*ii, -1.22932-.103839*ii, -1.79412-.3771*ii, -.0420582-.0666216*ii, -1.36841+.145184*ii, 1.35619-.332115*ii, .489247+.799491*ii, .946796-.416137*ii, -.759668-.717481*ii, -.671857+1.0566*ii, .849151+.514035*ii, 2.18471+1.0221*ii
-.319206+.802268*ii, -.159335+1.05794*ii, .0134258+.281568*ii, -.0260646+.252581*ii, .0923832-.397492*ii, .131874-.368505*ii, .534189+.046811*ii, .214846+.52925*ii, .294379-.227347*ii, -.029207-.615006*ii, .089809-.488718*ii, .297249-.135004*ii, -.607295-1.31003*ii, .502723+.172882*ii, .648577+.175027*ii
-20.078-5.38812*ii, .211962+.349716*ii, .59961-11.116*ii, -17.466+3.15541*ii, -.344521+.282987*ii, 17.721-13.9884*ii, 5.36609+33.2851*ii, -9.52263-18.1368*ii, -.556409-2.49047*ii, -.277546-.322518*ii, 21.5297+2.08364*ii, .110736+.523924*ii, .00557407+.00118325*ii, 3.83481+7.97096*ii, -1.06361-.164143*ii
-.30351+1.11252*ii, -5.78801-2.78909*ii, 5.16895+6.52852*ii, .721947+.757055*ii, -5.11294-6.05002*ii, -.665936-.278562*ii, -1.46568+2.40607*ii, -2.24974-1.34513*ii, .789867+.609302*ii, 6.86021-.349191*ii, -.28535-1.19941*ii, 4.282-5.81436*ii, .114313+.0535649*ii, -1.69366+7.73809*ii, .0235049-.13785*ii
-.114418+.524654*ii, .361263+.368143*ii, -.5135+1.191*ii, -.381486+1.09342*ii, 1.55926-1.88887*ii, 1.42725-1.79129*ii, -.317781-.208799*ii, 1.44544-.357596*ii, 1.14372+.20805*ii, -.567558+1.29406*ii, -1.4507+.244227*ii, 2.37076+.461716*ii, -2.28125-3.59067*ii, -.613995-.445836*ii, -.223881+1.36818*ii
1.59572+.43607*ii, .349325+.108365*ii, .314676-.110288*ii, .489304-.651306*ii, .150814-.0733027*ii, -.0238137+.467715*ii, -1.22198-.945361*ii, 1.14401+.790284*ii, .624191+1.11788*ii, -.222432-.0551017*ii, -1.01393-.214838*ii, .165922-.114457*ii, .115544-1.16118*ii, -.330911-.184923*ii, -.755195+.283494*ii
.651813-.691764*ii, 1.5315-.53068*ii, -.264224+.444868*ii, -2.30876+.301303*ii, .6768-1.1628*ii, 2.72134-1.01923*ii, -1.42249+.251846*ii, .185585-1.17515*ii, .110463-1.33971*ii, -1.04479+1.99466*ii, -.001236+1.32042*ii, -.531293+.118652*ii, -.272949+.108524*ii, .698828+2.02289*ii, -.236225-.701605*ii
-.87455+1.59253*ii, 1.27007+.017107*ii, .372422+.384742*ii, -.0547354+.309786*ii, .229112-.517305*ii, .65627-.442349*ii, -.580524-.200287*ii, .997338+.904865*ii, -1.18955+.073962*ii, -.240929-.25043*ii, .478077-.136095*ii, .086947-.281604*ii, 1.15004-.831721*ii, .609521-.164672*ii, -.900895-1.14021*ii
-3.41936+7.93154*ii, 1.13165-3.95582*ii, -2.72848+14.2846*ii, 1.1779-1.94597*ii, 1.35439-8.74721*ii, -2.55199+7.48333*ii, -9.39324-9.28307*ii, 12.6169+6.4831*ii, -7.24576-.907745*ii, -.0608891-.0599934*ii, .11064+.141269*ii, 1.64378-.364645*ii, 12.97-9.77075*ii, .684042-.277806*ii, -.880022-.098664*ii
.830767+.029799*ii, -1.77708-2.76446*ii, -1.89423+2.76869*ii, .195254+1.36412*ii, 2.633-.193577*ii, .543511+1.21098*ii, .257899-1.52974*ii, 1.13633+1.8573*ii, -1.49833-2.67744*ii, 1.0736+.37183*ii, -.232189+.169368*ii, -2.15778+3.41009*ii, 2.03647-2.14745*ii, .88083+.340896*ii, .320935-.603509*ii
8.55313+1.55023*ii, -3.93866+.678424*ii, 12.3919+6.88871*ii, -.26553-4.89017*ii, -7.83823-4.198*ii, 4.81916+7.58089*ii, -15.7293+.77945*ii, 9.5292-6.18118*ii, -4.45127+8.85718*ii, .0791624-.0655151*ii, -.210585+.0748409*ii, 1.54406+.525545*ii, -.61265-11.128*ii, .77865-.437639*ii, -.91543-.441626*ii
-.732893-.243379*ii, 6.67335+2.89939*ii, -.0529144-.315785*ii, -3.93839+1.43376*ii, -.830462+.158038*ii, 3.05501-1.59151*ii, -2.61445-.487814*ii, -.0222397-.381678*ii, -.885084+.025759*ii, -3.4591+3.48605*ii, .332699-.401245*ii, .193901+.366484*ii, -.0430347-.0400315*ii, 3.38358-1.71303*ii, .923748-2.92748*ii
-.335659+1.41386*ii, -3.51454-14.3739*ii, -6.71799+17.8562*ii, .817474+.862414*ii, 6.72996-16.2831*ii, -.805506+.710618*ii, -4.44052-2.76534*ii, 2.44723-4.09854*ii, -.692275-.746578*ii, 7.34706+9.35486*ii, -.223898-1.14649*ii, 13.0234+1.65969*ii, .0560944-.0181875*ii, -15.6926+7.24767*ii, .0079083-.0739716*ii
.843652-.953592*ii, .418828-.777648*ii, .342237-.0638426*ii, -.939555+1.20415*ii, 1.45369-1.84375*ii, 2.73548-3.11175*ii, -.94937-1.06296*ii, .245571-.010447*ii, -.317256-1.26305*ii, -.546432+1.98919*ii, -1.42134+2.61194*ii, .215663+.168093*ii, -.32946-.0854123*ii, 1.43587+2.19925*ii, -2.5597+.151131*ii
.019923+.845579*ii, .811609+.024115*ii, .223413+.0896524*ii, -.151836-.845071*ii, -.133103-.34682*ii, .242146+.587903*ii, -1.93815-.134998*ii, 1.65441+.891092*ii, -.336079+1.32616*ii, -.262085-.361043*ii, .361026-.292644*ii, .112188-.26157*ii, 2.10136-1.54608*ii, .300069-.228807*ii, -1.16749+.030950*ii
.782902-.439911*ii, -.279418-.863447*ii, .028226+.681655*ii, .364824+1.09288*ii, .623201-.627978*ii, .286604-1.0392*ii, -.738052-.926064*ii, .3211+1.04442*ii, -.331143-.838188*ii, .86929+.886121*ii, -.689528+1.01653*ii, -.344432+.677142*ii, .152225-.695502*ii, 1.07038+.311335*ii, -.627275+.097553*ii
.646401+.108111*ii, -.0595916+.287236*ii, -.118487+.301973*ii, -.168707+.243115*ii, .00673392-.0351922*ii, .0569533+.0236657*ii, .0643427+.153511*ii, -.26606+.167602*ii, .335475-.0557862*ii, .299134+.106406*ii, .211589-.677026*ii, -.102308+.484272*ii, -.60837-.561*ii, .181857+.101121*ii, .849364-.222442*ii
-.0449934+.481047*ii, -.369066-.242522*ii, .360305+1.25335*ii, .986338+.864166*ii, -.80934-1.42388*ii, -1.43537-1.03469*ii, .333561-1.08847*ii, -1.65498+2.07336*ii, .181429+1.58553*ii, 2.00642+.319659*ii, -.720517-2.10276*ii, 2.51342-.984087*ii, 1.44779+.890496*ii, -.244047+.9508*ii, -1.12995-.742125*ii
-1.12986+1.74111*ii, -.093923-2.47231*ii, -2.55324+2.06893*ii, .745624+1.34906*ii, 2.92554-1.88417*ii, -.373326-1.16431*ii, 2.42243-1.12666*ii, -.376706+1.48774*ii, -.088957-1.4469*ii, 1.0614+.596868*ii, -.439688-.922113*ii, 1.50579+.48929*ii, .503065+.208931*ii, -2.23845+1.17365*ii, -.714376-.707977*ii
.650061+.084532*ii, -.482624-.850127*ii, -.496146+.461574*ii, 1.51444+.004190*ii, .873361-.296178*ii, -1.13722+.161206*ii, -.772956-2.05126*ii, .866425+2.43548*ii, -1.08182-.36699*ii, .98697-.340037*ii, -.216116+.66582*ii, -.659742+.795839*ii, 1.96336+.153461*ii, .670334-.137614*ii, -1.03797-.115589*ii
.332926+.308908*ii, -.849975-1.27708*ii, -.410191-.152796*ii, 1.23527+.372699*ii, .82228+.245684*ii, -.82318-.279811*ii, .0892-.822198*ii, .408433+2.25262*ii, -.297703-.231556*ii, 1.256-.657536*ii, -.316137+.276071*ii, -.890913+.367691*ii, 2.01023-.494251*ii, .621274+.169078*ii, -1.50715+.304196*ii
.20366+2.62305*ii, .424669-.124799*ii, .907918-2.59791*ii, .180085+.533971*ii, -1.10443+.326183*ii, -.376593-2.8057*ii, 1.13761+2.19501*ii, -.790417-1.13683*ii, -1.08034+2.13228*ii, -.251837-.413983*ii, 2.71708-.955576*ii, -.95777-.420495*ii, -.405882-.580777*ii, 1.03461-.744892*ii, -1.52813+.671391*ii
-.30723+.460862*ii, .0216896-.253633*ii, -.918933+1.72862*ii, .583889+1.27791*ii, .416272-1.44545*ii, -1.08655-.994738*ii, .897687-1.60452*ii, -1.35671+2.74589*ii, 1.19334+1.82274*ii, 1.4512+.787824*ii, -1.94113-3.02337*ii, 3.51707-.350681*ii, 1.70722-.564795*ii, -.80893+.426759*ii, -1.35457-.330368*ii
-.036249-.667383*ii, -10.9698-9.20668*ii, 1.3584+.815371*ii, 19.9926+3.07642*ii, -1.42219+6.54378*ii, -20.0564+4.28274*ii, 1.05368+.548038*ii, .77743+11.0322*ii, -.351456+1.45638*ii, 19.8924-7.38791*ii, .886198+.442045*ii, -1.32838+1.96326*ii, .0286043-.0170321*ii, -5.65164-13.0081*ii, 2.467+3.83833*ii
-.513759+.118394*ii, .0659012-.473044*ii, -.934898+.299833*ii, .040234+1.11694*ii, -.000173-.533344*ii, -.975305-1.35045*ii, .89121+1.11305*ii, -1.43312+.462071*ii, 1.46861+1.09366*ii, 1.50812+.788259*ii, .218736-1.86569*ii, 1.85566-.155975*ii, -.323803-.578087*ii, -.868138-.226423*ii, .24313+.551878*ii
.34926+1.03021*ii, .318918+.820816*ii, .149203+.648188*ii, .086413+.566932*ii, .615627-.764087*ii, .678417-.68283*ii, .272122-.0389691*ii, .924682-.517678*ii, .598938-.598849*ii, -.441938+.198802*ii, -.556145+.221482*ii, .608357+.061417*ii, -2.90119-2.01293*ii, -.359161-.385858*ii, 1.17156+.331109*ii
.810278-.625335*ii, -.237508-.585825*ii, .40874+.693403*ii, .508527+.422194*ii, .59057-.732162*ii, .490783-.460953*ii, -1.7644-1.08174*ii, 1.13433+1.06433*ii, -.654179-.342271*ii, .678856+.595006*ii, -.63254+1.31764*ii, -.097764+.78031*ii, .579686-.937106*ii, .92214+.057608*ii, -.939725+.030333*ii
1.15523+.913523*ii, .376113+.303622*ii, .365527-.16357*ii, .467596-.0285188*ii, .190511-.13962*ii, .0884429-.274671*ii, -.273366-.467839*ii, .775595+.298821*ii, .594844+.505431*ii, -.24928-.0428164*ii, -.760803-.122807*ii, .125788-.24106*ii, -1.14777-1.25694*ii, -.248861-.277186*ii, -.177335+.27457*ii
-.473797-.801515*ii, .130385+.423528*ii, -1.1547-1.16542*ii, 1.12743+1.22516*ii, 1.35591+.265903*ii, -.926224-2.12468*ii, 1.18137-.355764*ii, -.396143+2.182*ii, 2.6483+.217828*ii, .997735+.185986*ii, -2.12966+.108557*ii, 1.70859-.430651*ii, -.97054-1.20512*ii, -.323653-.887819*ii, -.88813+1.7938*ii
.021339+.712373*ii, .370843+.98953*ii, .265577+.0266751*ii, -.151867+.0149092*ii, -.178525-.0413928*ii, .238919-.0296269*ii, -.0954282+.318924*ii, .520818+.223365*ii, .587046-.014328*ii, -.168115-.440478*ii, -.0114383-.317766*ii, .0485692-.371351*ii, -.853748-1.38048*ii, .310197-.12916*ii, .750111+.118214*ii
-.715655+.080327*ii, 5.49606-3.65936*ii, -.363293-.147596*ii, -1.35498+2.86647*ii, .424811+1.17711*ii, 1.4165-1.83696*ii, -2.24723+2.63862*ii, -.244821-.53846*ii, .337568+.731556*ii, 1.08064+4.15548*ii, .102754-.456886*ii, .47846+.259942*ii, .0492817-.121255*ii, -1.10716-2.88709*ii, -1.2148-2.71923*ii
.64285+.214306*ii, .314485+.891779*ii, .016253-.10706*ii, -.0564749-.256659*ii, .0436171-.0382818*ii, .116345+.111317*ii, -.337752+.127417*ii, .57585-.077923*ii, .953186-.118906*ii, -.220409-.143029*ii, -.177862+.0617898*ii, -.027212-.157467*ii, -1.48307-1.07326*ii, -.111038-.139181*ii, 1.04551+.426927*ii
2.72022+1.32187*ii, -.283734-3.42687*ii, -.016947+.960048*ii, -.998389-.318561*ii, 1.6293-1.44215*ii, 2.61074-.163545*ii, .10671+.233336*ii, -.095746-1.58692*ii, .261553+.586522*ii, -.336516+1.35055*ii, -.871031-.860202*ii, .133701+.287959*ii, .0638488+.104888*ii, -2.70066+3.22897*ii, -2.49028-1.26061*ii
-1.20019+.877435*ii, -.0221818+.00329607*ii, -2.26219+.147384*ii, -1.98927+.083239*ii, -.0494154+.00742583*ii, -.322338+.0715709*ii, 1.18462+2.02549*ii, -1.37107+.647709*ii, 1.26915+2.69248*ii, .0554958-.0485897*ii, 1.75868-4.56293*ii, 1.28685+.817988*ii, 3.45297-2.31143*ii, -.0239712+.107011*ii, -.207643+.791213*ii
.517564-.280481*ii, 1.35946-1.38113*ii, -.787173+.578422*ii, -1.80179+.691699*ii, .542664+.467346*ii, 1.55728+.35407*ii, -.856016+1.09629*ii, .369453-.414223*ii, 1.03614-1.59848*ii, -.070799+1.35116*ii, -.140556+.386216*ii, -1.64381+.226764*ii, .03241-1.12843*ii, .342332+.71917*ii, .832816-.492192*ii
-.35446+1.87821*ii, -1.36347+.970047*ii, -.229611-.250498*ii, 1.11957+2.01533*ii, .744734-.350438*ii, -.604447-2.61627*ii, 3.98219-1.74397*ii, -1.79216+2.54243*ii, -.7481-.94792*ii, .284317-1.17872*ii, -.699219-1.19554*ii, -.106506+.14235*ii, .0430179-.147076*ii, 2.1131+.951814*ii, -.957918-.178305*ii
-.345826+.32283*ii, -.308769+.312176*ii, -.00399755+.00821286*ii, -.040421-.0378016*ii, -.037817+.0539567*ii, -.0013935+.0999711*ii, .408532+.765529*ii, -.361665+.452127*ii, .208633-.0347677*ii, .626065-.734194*ii, .705549-.763551*ii, .018023-.00692398*ii, .204002-.241607*ii, .0205101+.456016*ii, .466353-.403865*ii
1.89105+.495535*ii, -.916857-.415004*ii, -.160423+3.47937*ii, 1.9555-1.86212*ii, .604207-2.45033*ii, -1.51172+2.89117*ii, -4.45586-5.19633*ii, 3.8827+3.16807*ii, -3.05443+1.00229*ii, .277131-.264522*ii, -.444363+.596941*ii, .371774+1.74249*ii, 4.27461-1.404*ii, .65515-.362897*ii, -1.11879-.179478*ii
-.785415-.588012*ii, 2.09572+.971148*ii, -.522706-.282208*ii, -.987298+.717455*ii, -.0521005+.2761*ii, .412491-.723562*ii, -.545617+.562268*ii, -.444791+.517912*ii, .842011-.138345*ii, -.072880+.947783*ii, .113701-.387442*ii, .598859-.089034*ii, -.306768-.101158*ii, .614548-.701549*ii, .849241-.653565*ii
1.93968+.314188*ii, -.589669-.095622*ii, .0544301-.218637*ii, .541861+1.23796*ii, -.0232602+.10718*ii, -.510691-1.34942*ii, 1.50502-1.57793*ii, -1.62279+1.8253*ii, .949953+.438504*ii, .573222+.403467*ii, -1.88576-1.32681*ii, .0095528-.114265*ii, .0561964+.0135566*ii, .985103+.962696*ii, -1.08925+.063990*ii
1.10898+.473135*ii, .05896+.650572*ii, .0418243-.33995*ii, .302268-.293398*ii, .115652-.208591*ii, -.144792-.255143*ii, -.32421-.0607926*ii, .82476-.199393*ii, 1.07879+.139402*ii, -.25454-.0817301*ii, -.355452+.342242*ii, -.0787372-.27295*ii, -1.8287-1.38772*ii, -.24361-.211069*ii, .663366+1.09027*ii
.968477+.057606*ii, -.262297+.0330282*ii, -.117032-.0142295*ii, -.220248-.176304*ii, .0237193-.0301403*ii, .126935+.131934*ii, -.77361+.326168*ii, .774468+.244434*ii, 1.25578+.583597*ii, .132725+.0417156*ii, -.450688-.239926*ii, -.121286-.0074784*ii, -.128607-2.1012*ii, .126138+.0480464*ii, .040406+1.17617*ii
-1.45412-.876202*ii, 4.96563+3.12935*ii, -.432358-1.48263*ii, -2.06704+3.04127*ii, -1.19789+.846916*ii, .436783-3.67698*ii, -.63771-.390555*ii, -1.80168+1.43009*ii, -.401034+.54578*ii, -1.38142+2.95877*ii, .382348-.863641*ii, .668857+.616573*ii, -.0402422-.0256782*ii, 4.60123-3.09202*ii, .607835-1.16077*ii
1.2134+.517341*ii, .440025-.106736*ii, -.87872-.682075*ii, -.323505-1.17623*ii, -.368456+.855559*ii, -.923671+1.34972*ii, -1.22557+.323872*ii, 1.08375+.835304*ii, 1.58909+1.74115*ii, -.230664-.378524*ii, .120831-1.28569*ii, -.815586-.214388*ii, 1.74526-2.09239*ii, -.084061-.578632*ii, -.127428+1.4663*ii
